Gene	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
DPM3	394	370	443	27	20
ENGASE	1559	1583	1801	151	167
NMI	844	854	871	89	107
ENSCSAG00000009404	0	0	0	0	0
PHPT1	541	577	656	52	48
ENSCSAG00000000720	0	0	0	0	0
MAEA	4154	4442	5120	411	375
OR2T6	0	0	0	0	0
RIMKLB	417	454	483	38	57
FKBP9	5375	5710	6042	361	350
ARHGAP1	9789	10561	11397	733	736
ENSCSAG00000025216	0	0	0	0	0
MIR592	0	0	0	0	0
ENSCSAG00000013506	1233	1432	1576	126	134
ENSCSAG00000012347	18	22	22	0	1
ENSCSAG00000021661	0	0	0	0	0
FZD1	1504	1564	1802	161	161
CSN2	0	0	0	0	0
TRARG1	6248	6278	7015	457	511
PUS10	311	321	324	32	35
ENSCSAG00000013750	0	4	3	0	0
ENSCSAG00000016821	0	0	0	0	0
NAT8L	337	308	388	42	44
DEFA6	0	0	0	0	0
PSMD13	2300	2452	2743	201	236
FCRLA	2	0	1	0	0
ENSCSAG00000007850	0	0	0	0	0
ENSCSAG00000012250	0	0	0	0	0
LYPD3	20	13	7	1	3
DNAJC17	394	417	454	43	50
ENSCSAG00000018939	0	0	0	0	0
CNPY4	1307	1300	1490	108	99
GAPDHS	1	4	1	0	0
RASIP1	143	176	190	16	13
MMP25	0	0	0	1	1
ENSCSAG00000006907	1	6	0	0	0
ANKRD55	5	3	10	0	1
FTMT	0	0	0	0	0
ENSCSAG00000024137	0	0	0	0	0
ENSCSAG00000021856	0	0	0	0	0
RUNDC3B	43	48	45	11	6
RUNX3	15	15	20	5	8
ENSCSAG00000020945	0	0	0	0	0
INO80	2283	2605	2660	329	361
DDX18	2011	2171	2432	156	185
LGR6	17	21	38	3	1
CNPY1	0	0	0	0	0
RASA1	5483	5707	6416	526	583
PLA2R1	4127	4659	4681	294	273
ENSCSAG00000026743	0	0	0	0	0
ENSCSAG00000015984	0	0	0	0	0
RAP1GDS1	1809	1921	2060	200	233
HES5	0	0	0	0	0
THTPA	621	661	685	68	61
PRPF40A	3984	4144	4340	402	471
LSM6	987	988	1163	61	93
SLC7A6OS	298	321	351	41	46
SNAP47	689	747	834	76	75
ANTXR1	3296	3421	3586	203	201
KL	0	0	0	0	0
BEND3	300	367	373	34	43
SNORD65	0	0	0	0	0
ENSCSAG00000022111	0	0	0	0	0
ENSCSAG00000016729	2259	2545	2675	146	152
ENSCSAG00000026967	0	0	0	0	0
ENSCSAG00000027564	0	0	0	0	0
ATP6V1C1	1720	1852	2049	132	146
TEX38	4	0	1	2	0
CDCP2	0	1	2	1	1
ENSCSAG00000014737	254	302	333	46	53
ENSCSAG00000003994	1	2	1	0	0
C7orf25	411	476	525	37	30
CCDC83	0	0	0	0	0
AMER1	262	280	300	38	39
FAM200A	212	251	258	29	35
ENSCSAG00000000533	868	952	1046	131	115
ENSCSAG00000000440	0	0	0	0	0
SNX11	663	693	734	61	52
HRCT1	47	43	53	1	3
HOXC10	689	736	813	88	76
ENSCSAG00000026468	0	0	0	0	0
ENSCSAG00000018430	0	2	0	1	0
OR10K2	0	0	0	0	0
ENSCSAG00000026179	0	0	0	0	0
ISG20	321	293	352	61	53
SCAF1	7011	7594	8838	789	839
COMMD6	843	872	974	57	80
ENSCSAG00000013960	0	1	7	0	0
UBE2J1	1851	2001	2091	168	185
ABHD17B	889	850	1006	76	85
C2orf69	181	206	175	22	14
HECW2	47	39	55	6	6
ENSCSAG00000020644	0	0	0	0	0
THAP2	119	124	137	9	23
CCDC33	26	13	12	1	2
ENSCSAG00000021386	0	0	0	0	0
ENSCSAG00000018861	3	1	0	0	1
RHOF	414	414	523	37	54
PAN3	2535	2695	2856	253	303
ENSCSAG00000025537	0	0	0	0	0
OR8S1	0	0	0	0	0
ENSCSAG00000004017	119	146	142	11	10
OLFML2B	1980	1931	2038	239	201
ABCB1	8197	9492	10042	861	995
KCNK9	1	0	1	1	1
VAX1	0	0	0	0	0
PLA2G4C	85	127	94	49	56
SLC29A3	339	328	364	21	17
IER2	493	569	623	159	197
TRIM56	2700	3015	3395	355	408
ABCC1	3152	3619	3669	561	631
ACTRT1	0	0	0	0	0
LRRTM2	26	42	34	10	4
METTL24	0	0	0	0	0
ENSCSAG00000005140	15000	16055	18286	1013	1194
SLC8B1	315	282	359	31	29
CPO	0	0	0	0	0
PRDM15	353	395	417	76	97
ELMOD1	25	25	22	2	1
ISLR2	5	5	3	1	0
CSGALNACT1	165	179	185	13	20
AOC2	63	69	79	12	16
USP4	2371	2496	2833	263	292
STX10	1430	1478	1720	139	131
SPATA25	0	0	0	0	0
TEX36	0	0	0	0	0
GNA11	5470	5803	6669	529	655
ENSCSAG00000022416	0	0	0	0	0
ENSCSAG00000023237	0	0	0	0	0
SRGAP1	590	640	661	100	133
GIMAP1	0	3	1	0	0
ENSCSAG00000026200	0	0	0	0	0
SCARNA8	0	0	0	0	0
SH3TC1	1325	1471	1476	242	220
ENSCSAG00000025764	0	0	0	0	0
ENSCSAG00000023920	0	0	0	0	0
ENSCSAG00000027841	0	0	0	0	0
ENSCSAG00000024921	0	0	0	0	0
ATP5MD	1613	1638	1859	90	105
CGA	0	0	0	0	1
ENSCSAG00000026420	0	0	0	0	0
CSF2RA	0	0	0	0	0
FFAR4	0	0	0	0	0
HOXA7	14	24	25	2	1
ENSCSAG00000004564	198	204	235	24	30
ARID1A	8970	11024	10637	1665	1699
GDF11	262	291	322	39	52
MIR612	0	0	0	0	0
RSPO1	0	0	0	0	0
ENSCSAG00000026717	0	0	0	0	0
AFF2	4	5	2	0	1
SPEM2	2	0	2	0	0
SLC6A16	52	36	39	0	5
MRPL46	1090	1125	1257	81	97
ENSCSAG00000021210	0	0	0	0	0
SLC25A39	13305	14344	16229	1508	1544
ADCK1	503	505	592	67	77
HEXB	1600	1632	1758	105	133
ZNF184	359	353	332	49	40
ENSCSAG00000021841	0	0	0	0	0
ZNF598	1343	1391	1654	190	223
ENSCSAG00000003817	20883	23655	25814	1862	1996
ENSCSAG00000018395	0	0	0	0	0
CCNA2	1329	1433	1550	100	176
RHBDL3	318	377	344	30	33
HJURP	1330	1372	1400	127	146
HRH4	60	84	89	4	10
EPDR1	6648	6681	7540	367	406
SNORD41	0	0	0	0	0
ENSCSAG00000000465	0	0	0	0	0
RELCH	3341	3362	3612	256	276
ASB7	857	854	918	118	134
ENSCSAG00000020484	0	0	0	0	0
IL4I1	50	50	36	8	13
TUBGCP3	2160	2029	2315	217	270
DDIAS	327	331	343	30	24
SPG21	2903	3051	3334	235	270
PGAP2	2340	2383	2710	200	254
SPEF1	127	108	126	2	8
ENO1	76586	82974	93637	5463	6063
ENSCSAG00000023038	0	0	0	0	0
ENSCSAG00000021496	0	0	0	0	0
AP5S1	655	679	743	77	73
UBE2Z	1970	2211	2531	217	224
ENSCSAG00000019670	0	0	0	0	0
SERPINB10	0	0	1	0	0
RNF26	763	755	928	89	73
BTC	251	252	320	17	17
MROH2A	21	14	16	2	1
ZNF226	281	258	259	17	30
RTRAF	984	1006	1184	98	96
ZNF181	196	192	180	11	15
CBLB	1357	1516	1605	138	118
FZD6	1049	1032	1185	35	62
ENSCSAG00000019310	15573	17058	19606	1756	1801
SNRPD3	3624	3798	4247	307	344
MICU1	4928	5109	5609	391	409
ENSCSAG00000005955	0	1	0	0	0
ANKFN1	0	0	0	0	0
ENSCSAG00000027751	0	0	0	0	0
C9orf43	86	108	108	9	13
OR6B1	0	4	1	0	1
CALB2	1	0	1	0	0
MRPL21	1059	1195	1451	105	116
ATCAY	0	0	0	0	0
KIF20B	4158	4377	4530	355	421
ANGEL1	2150	2140	2402	187	166
HELZ2	3576	4120	4277	649	588
ENSCSAG00000013483	0	0	0	0	0
FUNDC2	708	748	893	71	98
KCNAB2	353	321	413	34	43
ENSCSAG00000016365	2	1	1	0	0
ENSCSAG00000004708	8	6	7	0	1
RAD51AP1	231	231	228	11	26
LYPD2	0	0	0	0	0
CLTC	39579	44615	44530	3168	3474
DENND4B	1489	1649	1855	248	267
ANKRA2	536	522	647	62	61
UBTD1	612	704	812	86	125
DUSP3	10154	10425	11739	1128	1300
ABAT	1672	1909	1977	122	139
CD83	183	208	199	15	22
SLC39A13	2669	2826	3179	268	283
KRT28	32	27	20	6	3
ABCC12	1	2	2	0	0
SLC2A3	559	540	643	44	43
KANSL1	5632	6064	6554	1789	2023
DCN	0	0	0	0	0
ENSCSAG00000018545	0	0	0	0	0
TFCP2	1491	1575	1732	116	141
CHCHD6	1166	1174	1374	85	103
SPAST	1775	1811	1974	161	206
ADH7	0	1	1	0	1
PRSS57	0	0	0	0	0
ENSCSAG00000001426	48	53	78	15	13
TNFRSF10A	1008	1022	1230	181	238
ENSCSAG00000013104	0	0	0	1	2
ARSG	126	129	137	10	7
ENSCSAG00000005803	2	4	1	1	0
SLC27A2	174	180	190	19	7
ENSCSAG00000020627	0	0	0	0	0
POU6F2	0	0	0	0	0
GPX1	9707	10307	12174	780	802
KIAA0513	546	578	640	74	71
MCUB	1056	1100	1261	89	77
SLC12A9	905	935	1089	102	103
SRRM5	29	31	31	1	5
OR10C1	0	0	0	0	0
TMEM220	162	169	143	22	12
ENSCSAG00000004840	0	4	3	0	0
TRIM52	567	619	540	88	112
ENSCSAG00000021692	0	0	0	0	0
ENSCSAG00000022956	0	0	0	0	0
ARMH1	51	82	67	2	6
MCL1	2147	2325	2575	329	391
PXMP4	384	334	422	24	16
RNFT2	385	426	446	23	33
ENSCSAG00000027522	0	0	0	0	0
CDK2AP1	421	434	504	60	72
RAB10	12471	12932	14430	1014	1136
ENSCSAG00000001867	0	0	0	0	0
ALOX15B	2	1	3	0	0
CALML4	71	65	88	2	3
SH3PXD2A	186	187	204	16	15
SNORD74B	0	0	0	0	0
BIK	0	0	0	0	0
PHKA2	1232	1262	1345	136	138
ENSCSAG00000019768	0	0	0	0	0
SNX5	1412	1431	1502	154	204
NKX2-3	0	0	0	0	0
FAM92A	462	549	567	51	61
ENSCSAG00000004262	0	0	0	0	0
SPATA7	327	359	382	29	23
GPR61	0	1	4	1	0
ENSCSAG00000026108	0	0	0	0	0
ENSCSAG00000004388	1501	1480	1628	90	112
ENSCSAG00000018772	5142	5403	5939	1505	1758
C19orf57	94	95	109	9	9
ARSA	1650	1766	1918	146	137
AGTR1	0	0	0	0	0
EIF2B4	1963	2170	2525	222	245
TMEM217	22	17	21	0	2
RIOK3	2548	2647	2884	346	396
NUDT15	135	172	199	16	16
AP4B1	361	345	398	27	41
KCNAB1	39	56	46	8	7
FAM133A	1	0	0	0	0
TRMT6	494	567	685	59	85
ENSCSAG00000018820	3	1	1	0	0
WDR38	7	8	13	2	0
ENSCSAG00000011134	0	0	0	0	0
ENSCSAG00000020137	0	0	0	0	0
VENTX	0	0	0	0	0
RAPH1	813	916	909	129	161
CLEC1B	0	0	0	0	0
DIRAS1	31	42	39	5	5
PREX1	900	1008	1107	141	113
ENSCSAG00000020740	0	0	0	0	0
ENSCSAG00000013849	10	10	8	2	1
PHYKPL	761	751	837	87	80
CCL27	1	2	3	1	0
PXT1	0	0	0	0	0
RNF145	3587	3592	4106	381	453
TMEM42	559	490	568	46	42
SNORA71	0	0	0	0	0
IDO1	0	0	0	0	0
SLC7A4	3	9	8	0	0
KCNH7	2	2	4	0	0
RAB27B	209	227	242	18	14
ENSCSAG00000010851	0	0	2	0	0
CADM1	115	101	129	7	8
ENSCSAG00000024552	0	0	0	0	0
ENSCSAG00000018294	594	629	728	44	45
ENSCSAG00000001306	201	230	210	15	9
NUCKS1	6415	6715	7277	489	558
ENSCSAG00000017705	56	64	79	8	8
ENSCSAG00000027743	0	0	0	0	0
SPATA1	78	62	81	4	10
CAPSL	5	6	11	3	2
CYRIA	6	8	7	1	1
PROSER3	481	540	615	34	45
KRTAP10-8	0	0	0	0	0
NID2	0	1	0	0	0
CHURC1	3149	3184	3578	193	203
ENSCSAG00000025922	0	0	0	0	0
SNORD25	0	0	0	0	0
RSAD1	231	237	280	11	32
ENSCSAG00000010663	10	5	6	1	0
NPTXR	1240	1152	1291	101	110
NDN	0	0	0	0	0
GSX2	0	0	0	0	0
ENSCSAG00000023568	0	0	0	0	0
CCDC146	84	82	93	6	5
H1-0	1196	1253	1448	143	189
RRAD	10	10	18	0	2
MYL6B	1168	1205	1494	154	157
ZKSCAN5	831	831	875	83	105
CD74	4	0	1	0	0
ENSCSAG00000020500	0	0	0	0	0
ENSCSAG00000022653	0	0	0	0	0
ART1	1	4	0	1	0
ENSCSAG00000027679	0	0	0	0	0
ENSCSAG00000000370	0	1	0	0	0
ENSCSAG00000021302	0	0	0	0	0
KRT24	0	0	0	0	0
ASTN1	0	0	0	0	0
ENSCSAG00000027377	0	0	0	0	0
KRT36	0	1	0	0	0
ENSCSAG00000024870	0	0	0	0	0
ZNF395	2405	2537	2781	262	288
ANXA3	475	443	517	46	47
TFEB	336	320	419	65	81
MIR944	0	0	0	0	0
ASGR2	0	2	0	0	0
ENSCSAG00000020667	0	0	0	0	0
HACE1	1887	2015	2217	133	168
INIP	25	29	22	1	5
ENSCSAG00000000403	1323	1280	1595	110	127
ENSCSAG00000024799	0	0	0	0	0
DPCD	933	920	1131	60	68
DNAJC18	2372	2458	2631	172	209
CRY1	954	975	1120	190	210
ENSCSAG00000010664	1004	1110	1188	139	137
ITGA7	208	203	222	13	16
ENSCSAG00000013557	4	1	3	1	1
DEPDC1	825	944	938	77	84
ENSCSAG00000024298	0	0	0	0	0
ENSCSAG00000018900	0	0	0	0	0
ENG	1980	2136	2286	180	208
TRIM50	2	0	2	0	1
ENSCSAG00000019918	0	0	0	0	0
LTBP4	5913	6643	7096	586	560
TANC1	1421	1607	1640	315	351
PDE8A	2410	2463	2739	288	408
FGF18	8	2	4	1	0
CLEC6A	0	0	0	0	0
ENSCSAG00000023950	0	0	0	0	0
SLC10A5	2	8	4	0	2
TANC2	1751	2102	2115	287	268
FRYL	3224	3787	3529	346	351
ENSCSAG00000015560	11564	12394	13621	1117	1166
MIR196B	0	0	0	0	0
FAM120B	1979	2108	2310	171	238
ENSCSAG00000026497	0	0	0	0	0
MYLK4	2	3	1	0	0
TRAV19	0	0	0	0	0
ENSCSAG00000027210	0	0	0	0	0
DCLK1	527	512	574	31	42
FOXM1	3042	3134	3339	340	420
GTPBP10	455	436	472	56	68
STAT5A	7	1	4	2	1
NXNL2	6	1	5	1	0
ENSCSAG00000004836	35	40	39	2	2
N4BP2L2	220	184	205	18	35
NARS2	835	832	968	78	95
ENSCSAG00000001640	8	15	11	0	2
CYP21A2	0	1	1	0	0
HNF1B	19038	19778	21414	2121	2186
ENSCSAG00000023213	0	0	0	0	0
TNNC2	0	0	2	1	0
SHH	1	2	2	1	1
EPYC	0	0	0	0	0
HP1BP3	3592	3846	3991	240	257
VSIG8	3	7	9	1	1
MIR521-1	0	0	0	0	0
GPM6A	56	72	71	1	2
CSMD3	1	3	4	1	0
ENSCSAG00000022123	0	0	0	0	0
TUBB3	389	411	513	31	44
HUNK	110	106	98	13	9
BANF2	0	1	0	0	0
CXCL6	0	0	0	0	0
IP6K2	1234	1220	1471	153	162
TGM2	16123	15725	17038	1229	1248
ENSCSAG00000009940	1	1	0	0	0
MIR518C	0	0	0	0	0
DUSP6	1621	1484	1647	111	150
HSDL2	2222	2501	2770	162	210
RND1	39	44	50	5	8
BBS9	859	851	925	53	65
ATP2B1	5601	6072	6346	629	783
LRRK1	0	0	0	0	0
ENSCSAG00000020512	0	0	0	0	0
ENSCSAG00000023826	0	0	0	0	0
ENSCSAG00000001962	0	0	0	0	0
ERMP1	3057	3165	3254	205	258
G3BP2	8311	8794	9349	563	692
CRNKL1	1970	2099	2205	168	238
EEF1D	10014	10447	11908	1716	1787
ENSCSAG00000012198	1262	1416	1480	114	120
SHCBP1L	1	0	0	0	0
ENSCSAG00000007402	0	0	0	0	0
ENSCSAG00000014449	88	83	105	11	10
MIR575	0	0	0	0	0
MYOM2	115	132	141	12	13
GSTP1	18631	19081	21869	1430	1424
ENSCSAG00000003134	933	968	1097	69	68
TCP1	3646	3986	4337	317	406
TCIRG1	3112	3195	3660	305	308
ENSCSAG00000005544	40	63	48	4	0
VSX2	0	0	0	0	0
ECT2L	7	12	16	1	0
ENSCSAG00000009455	5	0	2	0	0
ENSCSAG00000027498	0	0	0	0	0
ENSCSAG00000003358	2	5	0	1	0
ENSCSAG00000024673	0	0	0	0	0
ENSCSAG00000025724	0	0	0	0	0
ENSCSAG00000018730	0	0	0	0	0
ENSCSAG00000000400	192	172	219	24	19
ENSCSAG00000003642	0	1	0	0	0
GPR150	1	0	1	0	0
SNORA70	0	0	0	0	0
SNORA49	0	0	0	0	0
PTPRG	2392	2486	2600	251	247
OR4S2	0	0	0	0	0
IFRD1	832	899	1013	280	408
ATP9B	2451	2531	2843	231	296
ENSCSAG00000021352	0	0	0	0	0
ENSCSAG00000000508	0	0	0	0	0
DDX25	1	0	3	0	0
WDR11	1718	1833	1879	116	114
BRMS1	1305	1398	1654	117	144
ENSCSAG00000023537	0	0	0	0	0
OLFM2	451	489	533	56	44
TAGLN3	1	0	1	1	0
ENSCSAG00000020739	0	0	0	0	0
SSU72	3486	3635	3928	332	347
HES2	34	37	59	2	5
ENSCSAG00000024868	0	0	0	0	0
DPF2	1970	2094	2366	229	226
TRAV29DV5	0	0	0	0	0
ENSCSAG00000020108	0	0	0	0	0
SNORA30	0	0	0	0	0
HSPB6	2	1	4	0	0
ND6	3854	3783	4346	891	1148
SLC2A4RG	4269	4227	4777	386	405
RALBP1	3506	3568	4025	236	289
ENSCSAG00000008764	103	125	135	15	12
ENSCSAG00000020940	0	0	0	0	0
ENSCSAG00000009369	5752	5589	6567	396	419
RD3	0	0	0	0	0
FAM83D	1015	1031	1117	95	134
ENSCSAG00000025592	0	0	0	0	0
MAFA	35	45	59	7	8
ENSCSAG00000025258	0	0	0	0	0
ALLC	0	0	0	0	0
BCL2L13	1093	1059	1133	136	162
SSTR5	135	135	177	8	9
RBMS1	995	1021	1195	143	140
ENSCSAG00000021853	0	0	0	0	0
MUC15	14	15	6	0	0
DDHD1	463	493	559	55	57
ENSCSAG00000025464	0	0	0	0	0
ATP2A2	10612	11696	12478	1126	1323
POLR1B	2757	3061	3306	352	417
ENSCSAG00000013205	9644	10028	11301	1234	1299
WNT3	441	460	462	24	45
ENSCSAG00000019465	647	635	778	70	67
PTPRF	10836	11909	13020	771	824
ENSCSAG00000018217	299	318	313	35	33
ENSCSAG00000025205	0	0	0	0	0
PRG3	0	0	0	0	0
MYL10	10	4	6	0	2
FAM149A	781	825	870	68	63
ENSCSAG00000027574	0	0	0	0	0
ENSCSAG00000024337	0	0	0	0	0
ENSCSAG00000027445	0	0	0	0	0
TSC22D2	1293	1566	1619	397	473
EMX2	2498	2504	2653	199	256
SNORA36C	0	0	0	0	0
TM9SF2	3934	4079	4440	262	305
SYCE1	0	0	0	0	0
PAQR9	29	23	28	2	1
PLCG1	2183	2329	2533	266	289
ENSCSAG00000025701	0	0	0	0	0
MGA	2565	2975	3026	335	380
ITGA3	51048	57731	63200	5257	5845
AREG	69	101	101	23	34
SH3GL1	1814	1943	2288	177	173
ENSCSAG00000021786	0	0	0	0	0
CEMIP2	1168	1202	1228	105	150
SPATC1L	7	3	8	0	1
VEGFD	0	0	0	0	0
ARRDC2	774	757	870	194	163
HMGN3	1017	1082	1157	46	65
CHRNA10	1	2	2	2	0
ZNF569	12	9	18	0	1
CDK5R1	137	139	163	28	34
UMAD1	14	13	15	1	1
ENSCSAG00000025257	0	0	0	0	0
ENSCSAG00000026840	0	0	0	0	0
VAT1L	0	0	0	0	0
U5	0	0	0	0	0
MILR1	17	26	20	0	1
SYNRG	2371	2679	2788	237	244
CDHR1	47	67	64	8	7
PER1	379	364	386	812	942
CFHR5	0	0	0	0	0
C1QL4	10	11	17	3	1
MRPL34	1686	1655	2041	135	129
ELF1	3398	3523	3926	305	407
ATP7A	1003	1088	1205	69	91
GRINA	2807	2808	3284	243	270
ENSCSAG00000008992	0	0	0	0	0
ENSCSAG00000017957	1	1	1	0	0
TRAV39	0	0	0	0	0
FAM110D	0	0	0	0	0
ATP6V1C2	7	11	6	3	1
BECN1	3994	4161	4542	285	322
P2RY13	0	4	0	0	1
ALPK1	324	391	371	20	26
ENSCSAG00000011560	766	807	883	80	92
TNFAIP1	6863	7127	8193	748	835
DHDH	822	860	905	65	54
SLC9A3	44	57	62	6	4
IL17RC	625	676	751	71	78
SPN	0	0	0	0	0
PLEKHA2	6908	7199	8018	772	842
ENSCSAG00000020337	0	0	0	0	0
PSMD6	1833	1954	2157	166	213
BZW2	1503	1595	1760	149	203
ENSCSAG00000020289	0	0	0	0	0
BEST3	5	5	6	3	2
SLC35E4	127	141	169	18	34
ENSCSAG00000027387	0	0	0	0	0
PEX14	1075	1124	1238	127	114
OTUD3	166	180	200	25	30
ENSCSAG00000018992	252	229	297	22	25
SNORD70	0	0	0	0	0
ENSCSAG00000022298	0	0	0	0	0
ENSCSAG00000025167	0	0	0	0	0
SORBS2	16	22	17	1	0
NFATC4	52	36	60	1	2
ENSCSAG00000025203	0	0	0	0	0
ENSCSAG00000017264	0	0	0	1	0
FHOD1	1933	2107	2415	183	193
PANK4	530	515	701	68	68
PGLYRP2	0	0	1	0	0
BCL6	388	353	367	161	190
ENSCSAG00000021494	0	0	0	0	0
ENSCSAG00000019524	360	392	448	50	44
NEK2	736	752	771	55	85
PHETA2	26	21	26	2	4
ENSCSAG00000019650	95	93	116	7	14
ZGLP1	2	5	1	0	2
EPS8L1	268	291	326	32	25
ZNF724	62	64	83	5	9
FAM71F2	0	0	0	0	0
PPIL4	777	834	881	105	114
REEP1	21	16	26	2	1
LRRN4	1397	1387	1490	129	129
FAM124A	46	63	56	6	15
TRAV36DV7	0	0	0	0	0
WNK1	10239	11465	11737	1106	1121
ENSCSAG00000002464	0	0	0	0	0
ZNF487	66	72	79	8	9
STAB2	385	362	388	20	13
ENSCSAG00000019764	0	0	0	0	0
ENSCSAG00000000066	0	0	0	0	0
CD200	0	0	0	0	2
ENSCSAG00000000546	0	0	0	0	0
OR10G2	0	0	0	0	0
ENSCSAG00000023087	0	0	0	0	0
ENSCSAG00000023615	0	0	0	0	0
COPG2	1430	1456	1633	115	88
ARHGEF4	0	7	5	2	1
BAHCC1	1768	1898	2087	164	196
MICAL3	8294	9917	10335	1460	1580
ZNF836	79	77	89	3	10
TOP3A	1256	1335	1465	158	168
PABPC1	58981	61654	68043	10901	12039
ENSCSAG00000001079	0	2	3	1	0
DNTT	7	10	19	0	2
CAND1	7315	7687	8287	657	699
CDH9	0	0	0	0	0
ENSCSAG00000004370	0	0	0	0	0
ENSCSAG00000024739	0	0	0	0	0
ATG5	1233	1379	1586	113	138
TCEAL7	0	0	0	0	0
SCAND1	1620	1720	2070	134	147
ZC3H12D	0	0	1	0	0
GPR12	0	1	1	1	0
SNORD4B	0	0	0	0	0
TTC24	0	0	0	0	0
TPRN	1772	1804	2135	206	178
ADGRL1	4803	5127	5530	584	622
DLX4	56	45	45	3	5
LCT	13	14	18	4	5
ENSCSAG00000005123	1042	1179	1216	174	172
CLUH	7673	8136	9298	1042	1195
MEF2A	1438	1532	1661	232	266
IQCE	2767	2775	2960	300	330
ENSCSAG00000014158	0	0	0	0	0
ENSCSAG00000004698	845	863	981	71	74
ENSCSAG00000024082	0	0	0	0	0
ANXA4	22647	22357	25234	1429	1573
GGH	49	59	64	1	4
EMC3	2049	1973	2277	146	173
ENSCSAG00000019139	9	14	12	3	3
FAM102A	2473	2684	3082	221	291
JMJD1C	2374	2466	2614	508	558
ENSCSAG00000001019	0	0	0	0	0
UBE2E2	712	722	746	53	46
UQCRB	5236	5440	5956	316	408
ITM2B	8102	8038	8995	473	597
VPS29	897	895	991	48	52
MN1	97	93	94	8	10
SMIM13	33	42	47	2	2
FAM234A	8579	8660	9747	672	608
CXXC1	2067	2186	2571	226	234
ENSCSAG00000000413	500	531	550	41	49
LYPD1	4913	4951	5460	380	471
NOP56	3384	3706	4143	552	623
GPR153	1693	1794	2031	197	181
ALDH8A1	8	7	5	3	2
ENSCSAG00000021942	0	0	0	0	0
GABRA1	9	6	3	3	0
SART1	4137	4376	5278	552	525
LIN7A	41	42	42	1	2
SLC25A30	3110	3359	3679	393	469
C12orf45	151	198	236	20	24
ENSCSAG00000004710	10368	10424	11858	700	857
MBD4	1100	1176	1239	108	104
HSD17B8	485	504	545	55	31
CCDC28A	399	447	491	28	30
NIT2	726	706	744	49	43
POU2F2	6	2	3	2	3
RASGRF1	28	24	36	4	2
PCBP1	10762	11353	13045	1433	1552
ENSCSAG00000022825	0	0	0	0	0
ENSCSAG00000010422	0	0	0	0	0
ENSCSAG00000012065	1	2	3	0	0
POGLUT2	18676	18156	19910	946	1024
ABHD13	338	314	342	17	23
TRNP1	398	436	548	29	33
NCOA1	1585	1719	1723	125	158
SLC2A6	606	608	702	64	75
ABCA1	1247	1345	1501	89	91
PRR11	2588	2962	3062	215	277
CCK	0	0	0	0	0
CMC2	826	884	1011	86	104
ENSCSAG00000023602	0	0	0	0	0
B3GNT3	26	11	25	2	0
ZNF383	48	56	55	2	7
OR10A7	0	0	0	0	0
NUDT21	5560	5476	6210	372	441
MTDH	7962	8575	9639	766	995
ENSCSAG00000008538	0	0	1	0	0
ENSCSAG00000024016	0	0	0	0	0
ENSCSAG00000020892	0	0	0	0	0
ITPKB	808	911	1004	89	84
CCDC60	0	0	0	0	0
RNF168	1806	1973	2035	214	232
ENSCSAG00000018583	4	2	8	1	1
CCDC190	0	1	0	0	0
TDRD9	0	1	0	0	0
AK9	80	115	85	7	6
UGT8	599	591	683	26	38
LAMB2	3769	4327	4422	357	382
PWWP3B	17	7	26	5	6
FCRLB	7	11	11	1	3
MIR505	0	0	0	0	0
LETM1	6664	7259	8088	895	990
ENSCSAG00000025078	0	0	0	0	0
FHAD1	272	271	301	25	21
ID2	605	585	606	178	206
ENSCSAG00000001305	0	0	0	0	0
S1PR1	6	3	5	3	6
ENSCSAG00000000152	135	137	151	19	12
ENSCSAG00000026086	0	0	0	0	0
ZC2HC1A	738	690	775	41	59
ACADM	4605	4505	5227	239	302
RAC3	902	945	1149	90	120
ENSCSAG00000019607	712	719	776	43	45
ENSCSAG00000025302	0	0	0	0	0
ORC4	857	872	872	64	74
MIR643	0	0	0	0	0
ZNF687	2015	2180	2440	236	274
HTRA3	1	0	0	0	0
MECP2	1704	1872	2048	223	248
ANK3	997	990	1049	82	68
ENSCSAG00000011284	0	0	0	0	0
NACC1	8732	9151	10398	1213	1331
ACTR8	883	826	1032	68	84
SCIMP	1	0	0	0	0
OTOGL	9	10	6	0	1
ENSCSAG00000017103	0	0	0	0	0
ENSCSAG00000023339	0	0	0	0	0
SPATA12	2	3	1	0	0
ENSCSAG00000004187	5	7	12	1	0
ARL5B	433	459	508	63	78
PSD2	260	300	277	36	21
SLC24A4	0	0	0	0	0
ENSCSAG00000014632	0	0	0	0	0
EVI5	716	789	836	69	90
ENSCSAG00000022724	0	0	0	0	0
PSIP1	7330	7540	7980	417	501
PLEKHA1	986	1004	1064	101	98
APH1A	4611	4870	5460	447	521
GGACT	305	316	344	24	29
SNORA21	0	0	0	0	0
ENSCSAG00000021865	0	0	0	0	0
ENSCSAG00000013333	87	121	124	11	9
ENSCSAG00000004974	66	56	59	9	2
ENSCSAG00000011675	0	0	0	0	0
BTBD9	457	485	506	56	63
ENSCSAG00000026017	0	0	0	0	0
OSMR	4684	5077	5142	523	554
NTS	1105	1052	1296	81	73
ENSCSAG00000010552	266	321	360	25	22
ENSCSAG00000026485	0	0	0	0	0
