Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
KRTAP24-1	KRTAP24-1	0	0	0	0	0
HDGF	HDGF	47.03	45.57	42.22	11.61	12.6
GAN	GAN	6.05	6.18	5.57	1.66	1.95
ANKRD34A	ANKRD34A	0.25	0.43	0.37	0.08	0.05
DCK	DCK	4.79	4.11	3.92	0.97	0.79
MIR609	MIR609	0	0	0	0	0
MIR548F3	MIR548F3	0	0	0	0	0
CHEK1	CHEK1	1.66	1.65	1.33	0.28	0.36
ENSCSAG00000000050	NA	0	0	0.1	0	0
SIGLEC14	SIGLEC14	0.01	0	0	0	0
ZEB2	ZEB2	0.14	0.15	0.13	0.18	0.18
ENSCSAG00000010481	NA	0	0	0	0	0
ENSCSAG00000025084	NA	0	0	0	0	0
MED10	MED10	9.46	9.18	8.27	2.03	2.04
ENSCSAG00000025745	NA	0	0	0	0	0
ENSCSAG00000023311	NA	0	0	0	0	0
MIR524	MIR524	0	0	0	0	0
PGM5	PGM5	0.61	0.71	0.46	0.45	0.41
ENSCSAG00000003226	NA	0.28	0.32	0.21	0	0.08
UAP1	UAP1	6.96	7.02	6.47	1.96	2.63
FAM98C	FAM98C	4.36	3.89	3.75	1.5	1.25
RAI14	RAI14	8.43	8.34	7.45	2.49	2.72
ENSCSAG00000017207	NA	235.44	239.31	217.8	161.78	164.27
BCAM	BCAM	48.86	45.5	42.43	11.21	10.47
KLB	KLB	0.07	0.06	0.03	0.03	0.04
DGLUCY	DGLUCY	1.85	1.7	1.52	0.68	0.75
SEC24B	SEC24B	7.23	7.39	6.05	2.16	2.24
ADAMTS17	ADAMTS17	0.93	1.06	0.78	0.39	0.4
ACOX2	ACOX2	1.93	1.8	1.47	0.45	0.39
GSDME	GSDME	0.72	0.62	0.55	0.17	0.09
KPNA1	KPNA1	7.67	7.56	6.85	1.95	1.94
APOLD1	APOLD1	0.31	0.31	0.13	0.06	0.05
ENSCSAG00000017616	NA	0	0	0	0	0
CDH19	CDH19	0	0	0	0	0
PIK3CG	PIK3CG	0	0	0	0	0
PDS5A	PDS5A	16.16	16.22	13.73	4.06	4.9
CNTRL	CNTRL	1.17	1.39	1.05	0.29	0.38
ENSCSAG00000018712	NA	0	0.97	0	0	0
PARP16	PARP16	1.47	1.52	1.28	0.3	0.46
SETDB2	SETDB2	3.34	3.04	2.69	0.78	0.77
AKIRIN1	AKIRIN1	6.36	6.37	5.75	1.87	2.07
ENSCSAG00000022329	AL590031.1	0	0	0	0	0
IRF2BP1	IRF2BP1	9.54	9.43	8.89	3.65	3.31
OR3A3	OR3A3	0	0	0	0	0
ENSCSAG00000005581	KRT18	144.02	147.41	134.04	45.85	44.17
OTUD4	OTUD4	8.59	8.88	7.59	2.76	3.06
ENSCSAG00000024150	NA	0	0	0	0	0
NTSR1	NTSR1	0	0	0	0	0
CRYAB	CRYAB	9.45	9.39	8.48	1.35	1.28
DPPA5	DPPA5	0	0	0	0	0
ENSCSAG00000004033	DPEP3	0	0	0	0	0
ENSCSAG00000025569	NA	0	0	0	0	0
GRM1	GRM1	0	0	0	0	0
TIMM22	TIMM22	7.64	7.74	6.3	1.94	1.69
ONECUT2	ONECUT2	1.49	1.61	1.19	0.38	0.72
EID2	EID2	9.66	8.8	8.58	2.46	2.46
KRTAP8-1	KRTAP8-1	0	0	0	0	0
VAC14	VAC14	8.04	8.51	7.32	1.91	1.98
ENSCSAG00000021758	NA	0	0	0	0	0
ENSCSAG00000010613	NA	0	0.1	0.03	0	0
ZW10	ZW10	2.65	2.36	2.05	0.62	0.61
WDR5	WDR5	11.34	11.43	10.26	3.22	3.67
FAM13B	FAM13B	1.69	1.62	1.39	0.76	0.88
EIF3K	EIF3K	59.81	58.12	53.2	33.53	33.37
ENSCSAG00000025300	NA	0	0	0	0	0
PBK	PBK	7.96	7.48	6.56	1.19	1.46
ENSCSAG00000014857	NA	0	0	0	0	0
SNORA54	SNORA54	0	0	0	0	0
BRPF1	BRPF1	2.7	2.84	2.73	1.86	2.33
IL1RAPL1	IL1RAPL1	0.08	0.1	0.11	0.03	0.02
ENSCSAG00000024316	NA	0	0	0	0	0
ATXN1	ATXN1	7.25	7.41	6.45	3.37	3.38
NSUN6	NSUN6	1.13	1.18	0.94	0.36	0.46
AKAP13	AKAP13	8.65	9.67	7.49	4.57	4.49
CCDC32	CCDC32	5.08	4.76	4.4	1.31	1.21
ZDHHC17	ZDHHC17	2	1.89	1.63	0.48	0.53
ENSCSAG00000008488	RFPL1	0	0	0	0	0
ENSCSAG00000008617	NA	0	0	0	0	0
DOCK5	DOCK5	13.03	13.63	11.2	3.91	3.77
SYN1	SYN1	0.23	0.18	0.16	0.04	0.05
SFMBT2	SFMBT2	0.58	0.62	0.52	0.19	0.17
ENSCSAG00000009400	NA	45.74	46.85	43.34	11.06	11.94
TYW3	TYW3	4.13	3.83	3.37	0.93	1.17
OR8B8	OR8B8	0	0	0	0	0
MS4A6E	MS4A6E	0	0	0	0	0
ENSCSAG00000016611	NA	0	0	0	0	0
ENSCSAG00000018427	NA	0.15	0.29	0.12	0.46	0
C19orf81	C19orf81	0.17	0.04	0.07	0.31	0
FGL1	FGL1	0.05	0.02	0.01	0	0
PSKH1	PSKH1	10.02	9.75	9.02	3.12	2.75
ENSCSAG00000016818	NA	0.05	0.07	0.04	0.05	0
MESP1	MESP1	0.3	0.26	0.1	0.06	0.05
ENSCSAG00000008593	NA	10.19	10.8	9.39	2.93	3.15
ZNF320	ZNF320	0.13	0.13	0.08	0	0.03
RBM46	RBM46	0	0	0	0	0
GNA14	GNA14	0.03	0.03	0.02	0	0.03
CRYBB1	CRYBB1	0	0	0	0	0
UTRN	UTRN	11.95	13.72	10.32	3.63	3.44
NPFFR2	NPFFR2	0	0	0.01	0	0
CELSR1	CELSR1	6.65	7.17	6	1.75	1.57
C5AR1	C5AR1	0.03	0.08	0.05	0	0
EPS15	EPS15	9.07	8.66	7.59	2.35	2.44
ENSCSAG00000009084	NA	0	0	0	0	0
ENSCSAG00000019086	CU639417.1	405.5	405.18	362.27	129.99	107
ENSCSAG00000009238	IGHV3-53	0	0	0	0	0
HELT	HELT	0	0	0	0	0
ENSCSAG00000027169	NA	0	0	0	0	0
PAPSS2	PAPSS2	2.59	2.61	2.47	2.51	2.32
ENSCSAG00000018995	NA	0.6	0.58	0.62	0.12	0.26
SMARCAD1	SMARCAD1	4.3	3.95	3.54	1.12	1.19
ENSCSAG00000004126	AC026464.6	9.44	9.6	8.47	2.83	2.52
SLC36A3	SLC36A3	0	0	0.01	0	0
GFM1	GFM1	8.11	7.96	7.28	1.86	1.85
LSMEM2	LSMEM2	0.9	0.99	0.78	0.43	0.34
ITIH4	ITIH4	0.02	0.01	0.01	0.04	0.01
ANKRD40	ANKRD40	20.48	20.65	19.15	5.09	5.8
MTTP	MTTP	0.88	0.91	0.75	0.15	0.17
ENSCSAG00000005150	NA	0.43	0.41	0.85	0	0
ENSCSAG00000022429	MIR654	0	0	0	0	0
DNM1	DNM1	6.9	6.98	5.86	1.76	1.65
CHTF18	CHTF18	10.7	10.79	9.98	2.9	3.15
ENSCSAG00000007808	TRBV7-7	0.43	0.27	0.28	0.18	0
ZNRF3	ZNRF3	3.28	2.91	2.76	1.17	1.11
ENSCSAG00000026349	NA	0	0	0	0	0
EAPP	EAPP	11.1	10.82	9.35	2.18	1.9
ENSCSAG00000019932	AC007383.3	2.23	0	1.91	0	0
ENSCSAG00000025345	NA	0	0	0	0	0
DUS4L	DUS4L	1.39	1.42	1.33	0.37	0.31
ENSCSAG00000019072	OR2J2	0	0	0	0	0
ENSCSAG00000000183	NA	0	0	0	0	0
SHC1	SHC1	45.29	44.73	40.68	10.47	10.29
AEN	AEN	6.85	7.12	6.1	8.09	9.16
ENSCSAG00000023209	NA	0	0	0	0	0
ENSCSAG00000023246	NA	0	0	0	0	0
ENSCSAG00000023182	NA	0	0	0	0	0
ORAI1	ORAI1	6.4	7.5	5.64	1.79	2.26
BMP4	BMP4	0.73	0.68	0.73	0.17	0.35
GRK7	GRK7	0	0.03	0	0	0
ENSCSAG00000000193	AP4S1	2.93	2.63	1.63	0.68	0.62
ZMYM4	ZMYM4	6.62	6.37	5.53	1.94	2.08
RNF165	RNF165	0.02	0	0.01	0	0
RANBP9	RANBP9	13.67	13.8	12.44	4.72	4.98
ZMIZ2	ZMIZ2	7.99	7.99	7.02	4.16	3.76
DYDC2	DYDC2	0	0	0	0	0
WDFY1	WDFY1	49.81	48.93	44.78	12.18	13.51
C1orf185	C1orf185	0	0	0	0	0
TAF1D	TAF1D	3.77	4.21	3.56	2.16	2.26
PLEKHG3	PLEKHG3	3.58	3.68	3.02	1.96	1.83
ENSCSAG00000027627	NA	0	0	0	0	0
SNORD35A	SNORD35A	0	0	0	0	0
CHAC2	CHAC2	1.54	1.45	1.27	0.44	0.5
TMUB1	TMUB1	18.99	18.84	18.73	4.64	5.33
NPBWR1	NPBWR1	0	0	0	0	0
MIR1180	MIR1180	0	0	0	0	0
MTRES1	MTRES1	5.29	5.53	4.72	0.91	2.01
ERI2	ERI2	1.01	1.04	0.82	0.17	0.29
HOXB8	HOXB8	0.16	0.18	0.13	0.09	0.06
CALML3	CALML3	0	0	0	0	0
ENSCSAG00000018558	NA	4.32	3.38	9.33	0	0
ENSCSAG00000015094	RALGDS	4.81	4.71	4.33	1.91	2.24
ENSCSAG00000004989	NA	0.07	0.06	0.05	0.02	0.01
ENSCSAG00000018728	NA	18.15	17.93	15.37	6.9	5.2
PLEKHM1	PLEKHM1	6.01	5.83	5.41	1.74	2.1
ENSCSAG00000019246	SNUPN	0	0	0	0	0
SNORA36A	SNORA36A	0	0	0	0	0
ENSCSAG00000010119	BRK1	20.92	19.42	18.95	3.89	4.41
NOL7	NOL7	24.96	21.97	20.96	4.83	4.54
ENSCSAG00000026733	NA	0	0	0	0	0
ENSCSAG00000000048	NA	0	0	0	0	0
HDAC4	HDAC4	1.49	1.57	1.31	0.46	0.51
ENSCSAG00000022428	NA	0	0	0	0	0
MTREX	MTREX	12.62	12.68	10.66	2.64	2.86
SH3D19	SH3D19	19.15	19.42	16.86	3.58	3.83
ENSCSAG00000019608	NA	73.36	72.41	64.53	19.25	17.4
ENSCSAG00000023908	MIR515-2	0	0	0	0	0
TACR1	TACR1	0	0	0	0	0
TLE4	TLE4	0.01	0.01	0.01	0.02	0.01
AK3	AK3	10.63	10.14	8.82	1.77	2.13
ENSCSAG00000027063	NA	0	0	0	0	0
SYNCRIP	SYNCRIP	35.25	36.12	33.15	8.72	10.22
ANKRD22	ANKRD22	0.22	0.21	0.24	0.04	0.04
ENSCSAG00000021467	NA	0	0	0	0	0
ENSCSAG00000022481	NA	0	0	0	0	0
GSTO2	GSTO2	0.11	0.06	0.05	0	0.02
DPY19L4	DPY19L4	10.2	9.54	8.36	1.7	1.96
ENSCSAG00000021344	NA	2.82	1.39	0	0	0
ENSCSAG00000005541	C11orf96	0	0	0	0.03	0
ESR1	ESR1	0.02	0.02	0	0	0.02
ENSCSAG00000021914	NA	0	0	0	0	0
ENSCSAG00000007277	NA	29.71	26.07	23.76	4.78	5.36
CRACR2B	CRACR2B	0.02	0.08	0.06	0.06	0
ENSCSAG00000004253	NA	0	0	0	0	0
ENSCSAG00000017362	NA	0	0	0	0	0
NAA11	NAA11	0	0	0	0	0
TMEM14A	TMEM14A	53.25	39.81	41.58	9.2	6.02
TRPT1	TRPT1	3.81	3.24	2.86	0.76	0.7
RALGAPB	RALGAPB	7.37	7.57	6.34	1.85	1.94
APLNR	APLNR	0.01	0	0.01	0	0
KCNS3	KCNS3	9.93	8.9	9.04	2.3	2.27
ENSCSAG00000006224	ARF3	47.58	47.23	43.03	9.24	8.92
ENSCSAG00000022470	NA	0	0	0	0	0
TAAR6	TAAR6	0	0	0	0	0
MIR34A	MIR34A	0	0	0	0	0
ENSCSAG00000019291	KLHDC7B	0.01	0.01	0	0	0
NEU4	NEU4	0	0	0	0	0
ENSCSAG00000021175	AC108713.1	0	0	0	0	0
GPR137B	GPR137B	3.87	3.61	2.95	0.75	0.7
TRAV23DV6	TRAV23DV6	0	0	0	0	0
ENSCSAG00000023928	NA	0	0	0	0	0
LRRC18	LRRC18	0.05	0.03	0.03	0.01	0.03
ENSCSAG00000001068	AK2	68.35	68.02	58.78	13.07	14.1
EMILIN1	EMILIN1	0.72	0.81	0.6	0.24	0.15
ENSCSAG00000021257	NA	0	0	0	0	0
ENSCSAG00000022460	NA	0	0	0	0	0
ENSCSAG00000007113	NA	0.46	0.36	0.32	0.05	0.04
CXCL12	CXCL12	0.09	0	0	0	0
BORCS5	BORCS5	1.17	1.2	0.89	0.3	0.26
PPP3CB	PPP3CB	3.31	3.15	2.75	0.73	0.81
TOR3A	TOR3A	2.63	2.62	2.51	0.83	0.75
SFRP1	SFRP1	0.18	0.11	0.16	0.03	0.02
ARL2BP	ARL2BP	15.21	14.83	13.93	2.93	3.1
EHD2	EHD2	1.18	1.12	0.95	0.24	0.26
TRBV11-3	TRBV11-3	0	0	0	0	0
ENSCSAG00000000076	NA	139.03	131.82	121.01	24.83	20.59
ENSCSAG00000026735	AC113174.2	0	0	0	0	0
ABCA12	ABCA12	0.01	0	0	0	0
CAVIN2	CAVIN2	0	0	0	0	0
ENSCSAG00000024066	NA	0	0	0	0	0
GPR3	GPR3	0.7	0.63	0.52	0.23	0.29
FAM185A	FAM185A	1.36	1.54	1.28	0.36	0.4
CDK17	CDK17	2.35	2.44	2.08	1.25	1.41
TSFM	TSFM	18.29	18.29	17.67	3.79	3.36
RBMX2	RBMX2	7.32	7.75	7.03	2.44	2.11
ENSCSAG00000025143	NA	0	0	0	0	0
UST	UST	2.21	2.54	2.3	0.84	0.41
ASCC1	ASCC1	8.15	7.62	6.97	1.31	2.19
ENSCSAG00000005116	NA	8.88	9.17	7.94	6.96	8.93
ARF4	ARF4	29.41	27.23	25.11	4.69	5.28
IL1B	IL1B	0.14	0.09	0.06	0.03	0.02
SNORA14B	SNORA14B	0	0	0	0	0
ENSCSAG00000016586	IGKV1-27	0	0	0	0	0
SRD5A1	SRD5A1	1.73	1.62	1.38	0.45	0.36
FAT3	FAT3	0	0	0	0	0
ENSCSAG00000014219	UBL7	8.01	8.57	7.69	2.41	2.43
ZNF282	ZNF282	8.14	7.89	7.15	2.81	2.83
ENSCSAG00000017537	PSG6	0.15	0.25	0.12	0.2	0.13
ENSCSAG00000022020	NA	0	0	0	0	0
MIR345	MIR345	0	0	0	0	0
ICA1L	ICA1L	0.66	0.73	0.57	0.15	0.14
FUCA2	FUCA2	1.33	1.31	1.34	0.2	0.13
KLHDC3	KLHDC3	17.8	16.03	15.33	3.61	3.61
HMGN4	HMGN4	35.98	35.48	33.01	6.2	8.98
ENSCSAG00000019804	NA	0	0	0	0	0
TEX26	TEX26	0.01	0	0	0	0
ENSCSAG00000014430	NONO	0.03	0	0.01	0.04	0
BCL2	BCL2	80.5	80.54	72.66	24.03	22.94
ENSCSAG00000006657	CD200R1L	0.02	0	0	0	0
ENSCSAG00000019253	NA	176.01	181.77	167.52	100.12	98.11
ENSCSAG00000022912	NA	0	0	0	0	0
ARSF	ARSF	0.01	0	0	0	0
SERPINE3	SERPINE3	0.03	0.08	0.08	0.07	0.03
IL17RA	IL17RA	6.94	7.6	6.49	2.46	1.9
TMCC2	TMCC2	1.71	1.82	1.54	0.67	0.71
ENSCSAG00000007821	TRBV6-8	0	0	0	0	0
TRAF3IP3	TRAF3IP3	0.01	0.02	0	0.02	0.04
ENSCSAG00000024152	NA	0	0	0	0	0
ENSCSAG00000024409	NA	0	0	0	0	0
ENSCSAG00000027600	NA	0	0	0	0	0
CLDND1	CLDND1	13.32	12.14	11.34	2.28	2.52
ENSCSAG00000006389	NA	61.89	63.31	57.7	13.04	13.13
ENSCSAG00000006953	SPATA31A6	0.03	0.08	0.03	0.01	0
ENSCSAG00000027949	NA	0	0	0	0	0
SOX11	SOX11	0	0	0	0	0
KDM5B	KDM5B	6.94	6.97	5.94	3.51	3.91
ENSCSAG00000024614	NA	0	0	0	0	0
LRIG1	LRIG1	1.94	1.95	1.74	0.3	0.33
BCKDHB	BCKDHB	9.84	8.81	8.34	1.05	1.6
ENSCSAG00000003601	NA	0	0	0	0	0
PPP3CC	PPP3CC	1.91	1.72	1.69	0.97	0.69
ENSCSAG00000022451	NA	0	0	0	0	0
PRDX6	PRDX6	60.06	58.69	52.53	18.32	19.7
SERPINI1	SERPINI1	28	26.75	22.24	2.84	3.37
ENSCSAG00000023381	NA	0	0	0	0	0
OR51E1	OR51E1	0	0	0	0	0
TEX13B	TEX13B	0.02	0.02	0.01	0	0
TMLHE	TMLHE	5.2	5.36	4.57	1.18	1.31
IDO2	IDO2	0	0	0	0	0
IVD	IVD	14.17	13.38	12.11	2.01	2.11
ENSCSAG00000000260	NA	0	0	0	0	0
TSC22D4	TSC22D4	10.5	10.7	9.7	2.78	2.73
ZNF155	ZNF155	0.84	0.92	0.69	0.33	0.22
MRPL2	MRPL2	18.91	19.55	18.05	4.97	6.53
ZNF516	ZNF516	3.11	3.3	2.74	1.85	1.64
BCL2L1	BCL2L1	64.21	64.81	58.55	17.65	18.47
ENSCSAG00000000325	ARMCX5-GPRASP2	0.17	0.21	0.17	0.07	0.05
SDF2	SDF2	30.66	30.2	29.76	7.36	6.77
ENSCSAG00000007878	NA	0	0	0	0	0
OR51D1	OR51D1	0	0	0	0	0
ENSCSAG00000001329	TOMM22	0.15	0.07	0	0.38	0
MCHR2	MCHR2	0	0	0	0	0
ENSCSAG00000003373	PTGES3L-AARSD1	2.9	2.86	2.66	1.22	1.07
LY6H	LY6H	0	0	0	0	0
ENSCSAG00000013874	NA	0	0	0	0	0
MARCHF10	MARCHF10	0.05	0.1	0.04	0.02	0
GALNT3	GALNT3	0	0.01	0.01	0.01	0.01
SNORA25	SNORA25	0	0	0	0	0
ITK	ITK	0.01	0	0	0	0
CAMP	CAMP	0.06	0.01	0.01	0	0
MIR126	MIR126	0	0	0	0	0
ENSCSAG00000019900	NA	0	0	0	0	0
GCC1	GCC1	4.03	4.21	3.63	1.59	1.67
CRH	CRH	0	0	0	0	0
CFAP36	CFAP36	23.65	24.45	20.57	4.85	5.38
ASPN	ASPN	0.01	0.03	0.01	0	0
ENSCSAG00000024004	AP000944.4	0	0	0	0	0
IL21R	IL21R	0.01	0.01	0.02	0	0
SNORD111	SNORD111	0	0	0	0	0
ENSCSAG00000014121	NA	0.01	0.02	0.01	0.02	0.02
SOCS7	SOCS7	3.1	2.72	2.76	1.41	1.06
ARID4A	ARID4A	2.98	3.08	2.62	1.14	1.13
ZNRF4	ZNRF4	0	0	0	0	0
SNORD70B	SNORD70B	0	0	0	0	0
ARNT	ARNT	9.88	9.61	8.92	2.53	2.32
ENSCSAG00000023065	NA	0	0	0	0	0
ENSCSAG00000020022	NA	0	0	0	0	0
PPRC1	PPRC1	4.25	4.43	3.96	3.01	3.07
CA13	CA13	0.77	0.75	0.7	0.25	0.34
QPRT	QPRT	0.09	0.1	0.05	0.03	0.05
ENSCSAG00000023235	SNORA10	0	0	0	0	0
ENSCSAG00000022078	NA	0	0	0	0	0
EXOG	EXOG	0.6	0.72	0.43	0.22	0.24
SSX2IP	SSX2IP	7.29	6.71	5.91	1.55	1.36
ENSCSAG00000025003	NA	0	0	0	0	0
ENSCSAG00000026875	NA	0	0	0	0	0
ENSCSAG00000020797	NA	0	0	0	0	0
LSM11	LSM11	2.34	2.22	2.11	0.49	0.68
ENSCSAG00000025170	NA	0	0	0	0	0
PROB1	PROB1	0.42	0.49	0.38	0.09	0.09
NELL2	NELL2	0	0	0	0	0
ENSCSAG00000006701	HNRNPUL2-BSCL2	54.75	55.26	49.88	12.18	11.72
ENSCSAG00000023737	NA	0	0	0	0	0
ATL1	ATL1	0.7	0.75	0.56	0.07	0.15
CCDC113	CCDC113	1.72	1.73	1.4	0.3	0.32
VWA3A	VWA3A	0.08	0.05	0.03	0	0.03
PRR18	PRR18	0	0.07	0.06	0.05	0
ENSCSAG00000013484	NA	0	0	0.02	0	0
GJB5	GJB5	3.09	3.2	3.05	1.12	1.03
ENSCSAG00000024950	NA	0	0	0	0	0
NECTIN4	NECTIN4	0	0.04	0.04	0.05	0.02
WASHC5	WASHC5	11.89	11.61	10.31	2.59	2.65
ISX	ISX	0	0	0	0.01	0
NXPE1	NXPE1	0	0	0	0	0
SPC25	SPC25	5.37	4.95	4.37	0.46	0.72
ENSCSAG00000026711	NA	0	0	0	0	0
ENSCSAG00000021406	NA	0	0	0	0	0
SLC49A4	SLC49A4	3.29	3.41	2.89	0.86	0.73
ENSCSAG00000022985	NA	0	0	0	0	0
ZNF780A	ZNF780A	1.45	1.5	1.15	0.19	0.36
KCNH3	KCNH3	1.01	0.85	0.7	0.22	0.2
NEIL3	NEIL3	2.21	2.1	1.66	0.54	0.45
AS3MT	AS3MT	0.22	0.24	0.27	0	0
PLA2G15	PLA2G15	6.22	6	5.4	1.6	1.5
RXRA	RXRA	7.86	7.71	7.15	2.19	2.2
TNFAIP6	TNFAIP6	4.83	4.25	3.5	1.15	0.92
ENSCSAG00000014255	NA	0.06	0.04	0.03	0	0
RNF112	RNF112	0.18	0.2	0.15	0.13	0.04
ENSCSAG00000010743	MARCHF8	6.39	6.29	5.43	1.34	1.72
PDCD1LG2	PDCD1LG2	0.01	0	0	0.02	0
ESYT3	ESYT3	0.04	0.03	0.02	0.01	0
RNU6ATAC39P	RNU6ATAC39P	0	0	0	0	0
TBC1D25	TBC1D25	4.5	4.41	4.02	1.38	1.39
ENSCSAG00000003176	FOSB	0.43	0.63	0.61	2.21	1.95
ENSCSAG00000019142	NA	0	0	0	0	0
ENSCSAG00000006305	NA	0	0	0	0	0.06
ENSCSAG00000024808	NA	0	0	0	0	0
ENSCSAG00000000090	IFITM3	109.99	107.26	100.35	23.55	30.88
ENSCSAG00000000395	H2AZ1	132.35	123.41	122.03	24.83	22.24
LZIC	LZIC	2.62	2.44	2.01	0.63	0.52
AQP10	AQP10	0	0.01	0.01	0	0
ARID1B	ARID1B	3.21	3.36	2.9	1.65	1.74
PSCA	PSCA	0	0	0	0	0
PPM1F	PPM1F	8.15	8.32	7.64	2.21	2.44
ABHD17C	ABHD17C	7.18	7	6.11	2.02	2.35
DNAH1	DNAH1	0.01	0.01	0	0.01	0.01
RHOBTB2	RHOBTB2	5.38	5.41	4.84	2.02	2
RPAIN	RPAIN	6.52	6.52	5.68	1.83	1.75
IKZF2	IKZF2	0.92	0.94	0.53	0.13	0.23
TNK1	TNK1	0.05	0.04	0.05	0.04	0.01
SLC35F1	SLC35F1	0.04	0.02	0.01	0	0
ZNF821	ZNF821	2.45	2.84	2.27	2.05	1.67
TMEM150B	TMEM150B	0.28	0.34	0.23	0.11	0.16
IL1R2	IL1R2	0.63	0.74	0.78	0.21	0.26
CCKAR	CCKAR	0	0	0.01	0	0
ENSCSAG00000000557	CIAO2A	2.93	2.6	2.64	0.56	0.78
TRIP6	TRIP6	9.76	9.66	9.04	3.55	3.94
GAK	GAK	11.32	11.84	10.43	3	3.32
FAN1	FAN1	3.29	3.2	2.85	0.65	0.76
CIRBP	CIRBP	63.63	63.23	55.71	11.64	11
ZER1	ZER1	3.45	3.24	2.91	0.75	0.73
NOD2	NOD2	0	0	0.01	0.05	0.08
NFASC	NFASC	0.76	0.8	0.71	0.17	0.11
MIR802	MIR802	0	0	0	0	0
ENSCSAG00000021104	NA	0	0	0	0	0
ENSCSAG00000019853	NA	0	0	0	0	0
ENSCSAG00000016813	OR4F17	0	0	0	0	0
VTCN1	VTCN1	0	0	0	0	0
HSD17B6	HSD17B6	0.02	0	0.02	0	0
CYTIP	CYTIP	0.03	0.05	0.04	0	0.03
ENSCSAG00000008011	TBC1D28	0	0	0	0	0
MIR370	MIR370	0	0	0	0	0
MCM10	MCM10	5.21	5.28	4.84	1.44	1.62
TLR7	TLR7	0	0	0	0	0.01
GREM1	GREM1	0.38	0.28	0.13	0.11	0
FBXO34	FBXO34	6.39	6.49	5.92	2.44	2.29
NR2F6	NR2F6	7.5	7.31	6.95	2.22	2.35
H2BC3	H2BC3	167.36	165.2	145.44	50.98	54.88
TTL	TTL	15.38	15.75	14.32	4.01	4.43
MAP3K3	MAP3K3	10.43	11.12	9.32	2.56	2.39
CFAP44	CFAP44	0.46	0.44	0.35	0.09	0.16
ENSCSAG00000026126	NA	0	0	0	0	0
FPR2	FPR2	0	0	0	0	0
ULBP3	ULBP3	0.11	0.12	0.1	0.03	0.03
MAPK6	MAPK6	8.57	8.5	7.4	3.15	3.34
METTL18	METTL18	2.15	2.07	1.84	0.67	0.72
PRR19	PRR19	0.05	0.03	0	0	0
CFAP45	CFAP45	0.26	0.16	0.14	0.06	0.12
DNM2	DNM2	18.32	18.17	16.83	4.71	4.53
PANX1	PANX1	3.28	3.13	2.93	1.02	1.39
ENSCSAG00000023626	AC093416.2	0	0	0	0	0
C2orf78	C2orf78	0.24	0.56	0.27	0.21	0.16
PON2	PON2	6.41	5.87	5.51	0.99	0.93
SLC28A1	SLC28A1	2.54	2.59	2.09	0.3	0.41
NOX1	NOX1	0.02	0.02	0.01	0	0
CILP	CILP	0.01	0	0	0	0
ZFP82	ZFP82	1.59	1.65	1.27	0.68	0.52
FLT1	FLT1	0.03	0.01	0.02	0.01	0
MPG	MPG	6.18	6.25	6.02	1.24	1.63
IFT43	IFT43	17.03	15.49	14.46	2.83	2.7
ENSCSAG00000025282	NA	0	0	0	0	0
TCEAL4	TCEAL4	22.21	23.54	20.68	5.57	3.59
EPHX2	EPHX2	6.17	5.96	5.59	1.06	0.96
ENSCSAG00000005964	NA	0.11	0.07	0.08	0.02	0.01
BRWD1	BRWD1	2.64	2.94	2.21	0.78	0.76
SLC5A6	SLC5A6	3.67	3.77	3.23	0.91	1.01
THAP8	THAP8	2.46	2.68	2.31	0.44	0.51
REG3A	REG3A	0	0	0	0	0
FLNB	FLNB	29.39	34.27	26.77	9.29	8.94
H1-4	H1-4	421.03	414.02	387.14	159.12	163.16
MED22	MED22	13.03	12.69	12.12	3.12	3.84
CXXC4	CXXC4	0.12	0.15	0.13	0.01	0.02
NAA80	NAA80	2.54	3.14	2.32	0.6	0.83
ENSCSAG00000022740	NA	0	0	0	0	0
LMBRD1	LMBRD1	11.82	11.44	10.56	3.15	2.94
FOXF2	FOXF2	1.77	1.68	1.43	0.44	0.55
TLE2	TLE2	13.3	13.27	12.56	3.08	3.44
ENSCSAG00000019584	NA	0	0.21	0.18	0	0.5
CCDC148	CCDC148	1	0.94	0.77	0.13	0.1
MMAA	MMAA	0.85	0.79	0.64	0.07	0.09
ENSCSAG00000024984	NA	0	0	0	0	0
ENSCSAG00000015603	INO80B	28.87	27.59	24.91	8.24	7.88
ENSCSAG00000027975	NA	0	0	0	0	0
ENSCSAG00000020564	NA	0	0	0	0	0
ENSCSAG00000016295	NA	0	0	0	0	0
NUDT12	NUDT12	1.96	1.99	1.82	0.41	0.54
ENSCSAG00000014170	NA	0	0	0	0	0
PCDHB4	PCDHB4	0.06	0.06	0.03	0.03	0
WDR66	WDR66	0.28	0.24	0.22	0.05	0.09
S100P	S100P	0	0	0	0	0
LRBA	LRBA	7.62	8.65	6.66	2.29	2.33
TRIM55	TRIM55	0.01	0.02	0	0	0
RGL2	RGL2	15.64	15.39	14.58	4.12	4.26
CXCL1	CXCL1	0.06	0.08	0.09	0.8	1.41
SHPRH	SHPRH	2.48	2.54	2.26	0.65	0.74
GDPD2	GDPD2	0.08	0.1	0.07	0.04	0.02
AQR	AQR	12.54	12.86	10.83	4.11	4.13
