Genes	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
MIR200A	0	0	0	0	0	0
BC032910	0	0	0	0	0	0
PABPC4	790	1428	3175	1403	750	1405
PRSS54	0	0	0	0	0	0
LMO1	0	0	0	0	0	1
PFKM	283	537	1312	579	294	625
CILP	0	0	0	0	0	0
GPX5	0	0	0	0	0	0
MIR320D2	0	0	0	0	0	0
DQ592381	0	0	0	0	0	0
ZFYVE16	274	245	899	489	306	436
MIR4747	0	0	0	0	0	0
DQ586256	0	0	0	0	0	0
LOC440243	0	0	0	0	0	0
NEK10	2	4	17	4	2	2
CNGA1	11	17	64	26	26	32
PTF1A	0	0	0	0	0	0
SMIM14	127	166	400	311	177	300
RP9	220	390	717	651	398	697
SRRM5	0	0	0	3	15	0
LINC00423	0	0	0	0	0	0
RNF157	176	275	719	245	118	269
FAM208A	383	385	1242	815	446	646
ZIC5	6	10	51	28	18	21
FAM205A	0	0	0	0	0	0
BLOC1S1	412	930	1873	436	225	510
SH2D7	1	0	3	1	0	1
LINC00620	0	0	0	0	0	0
CLLU1OS	0	0	7	0	0	0
DQ593239	0	0	0	0	0	0
ACAD11	126	182	514	239	149	274
DQ591572	0	0	0	0	0	0
BC031953	1	3	6	7	5	0
DGKK	0	0	0	0	0	0
SURF2	81	185	306	85	56	108
HP1BP3	687	1002	2731	1298	675	1166
SLC39A14	835	1281	3419	2084	931	1835
SERHL	0	1	6	2	0	2
SRPX2	151	267	597	341	138	327
DQ578098	0	0	0	0	0	0
COPZ1	1551	2924	6582	2546	1339	2487
PPP1R2P3	0	0	0	1	0	1
MALSU1	511	1167	2223	953	508	1131
HNRNPU-AS1	168	249	388	397	316	310
MIR603	0	0	0	0	0	0
KIAA1308	0	25	30	24	10	27
HEG1	6	9	24	29	27	27
TPCN2	97	219	613	180	118	194
TCEAL1	159	214	506	232	140	236
DQ601842	0	0	0	0	0	0
PARN	492	832	1772	1141	634	1082
HGD	167	279	590	218	118	268
GLT8D2	2	1	0	3	3	7
FBXO10	18	14	43	33	13	35
RHBDL3	1	4	10	0	0	3
MIR4802	0	0	0	0	0	0
LOC729609	0	0	0	0	0	0
MIR1976	0	0	0	0	0	0
UTP23	85	85	287	233	93	205
POLR3C	138	221	537	353	147	352
IGSF11	3	5	21	5	6	8
CSAG1	0	0	0	0	2	1
MIR320E	0	0	0	0	0	0
ZNF865	328	744	1517	432	275	656
INHBE	2	1	5	90	31	99
ZNF204P	76	120	286	221	118	142
RHOB	1355	2919	6508	5278	3106	6382
NRBP1	702	1376	2885	1500	700	1497
TMEM95	0	0	0	0	0	0
INADL	458	698	1962	1223	725	1315
BC034913	0	0	0	0	0	0
LOC643623	0	0	0	0	0	0
FLJ31662	1	17	23	14	8	25
GRTP1	34	56	103	54	15	35
CCDC115	342	702	1478	327	252	361
CAPN7	115	110	387	236	144	214
TBC1D22B	159	277	684	965	458	928
FRMD5	43	64	186	141	58	113
KCTD6	61	63	180	135	71	101
DQ584981	0	0	0	0	0	0
PFKFB1	1	0	4	5	2	2
ADM	26	84	172	254	218	293
EVPLL	16	30	42	35	25	41
MIR4765	0	0	0	0	0	0
ACP2	170	404	817	402	188	422
C19orf31	1	6	11	1	1	6
KLF2	26	56	105	75	56	149
AX747684	10	35	88	44	23	34
LOC100630923	9	7	49	30	18	12
MIR660	0	0	0	0	0	0
OAZ2	676	1434	2751	991	602	1049
TMEM222	177	438	841	242	126	249
C9orf40	64	116	240	69	41	93
PVRL4	221	482	1029	873	548	1022
LOC389023	0	0	0	0	0	0
ZNF337	45	77	162	161	94	147
STOX1	14	30	66	15	7	20
AX747590	6	12	15	10	7	11
FAM197Y5	0	0	0	0	0	0
MIR4725	0	0	0	0	0	0
TXNDC12	1074	1754	3884	1663	966	1638
PPP1R1C	16	17	35	22	8	29
DLX1	0	0	0	3	1	2
ODF2L	228	317	695	429	297	329
RAPGEF2	105	159	483	396	242	454
CARD8	138	155	511	305	167	269
LOC100505761	17	38	87	21	23	26
B4GALNT2	13	17	46	54	17	39
CCDC34	280	484	1008	144	115	156
KRTAP21-1	0	0	0	0	0	0
SCT	0	1	0	1	0	0
CYB561D1	115	221	594	257	125	337
DQ579975	0	0	0	0	0	0
TNFSF13	186	479	838	490	228	515
AX748020	0	0	0	0	0	0
MMP11	32	60	135	69	38	78
LINC00251	0	0	0	0	0	0
USH1G	5	1	1	0	3	3
UBE2M	948	2022	3865	1470	838	1589
ZNF474	0	0	1	2	5	2
PRAMEF3	0	0	0	0	0	0
NT5DC2	1196	2589	5250	893	480	1007
KRTAP1-5	0	0	0	0	0	1
PFKP	3254	6670	15265	7680	3843	8629
GADD45G	9	26	42	15	8	24
MYH1	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0
BX538226	3	8	9	4	2	4
IFI27L2	293	653	1231	403	206	477
C4B	0	0	0	0	2	0
ADSL	715	1533	3077	1188	548	1310
HRASLS2	13	29	54	160	114	187
E2F3	642	921	2612	1987	1217	1948
CAMK2G	495	867	2028	913	504	925
DKFZp434C0631	21	25	60	89	39	82
PIK3CD	57	68	165	162	68	155
DL492006	0	0	0	0	0	0
MIR598	0	0	0	0	0	0
MIR99A	0	0	0	0	0	0
GCSAM	7	9	14	21	7	16
FOXE1	98	177	415	302	134	311
MTMR1	356	501	1518	1027	507	915
SOWAHB	21	44	106	65	33	71
KCTD3	565	671	2044	689	386	677
C15orf54	0	0	0	0	0	0
SLC25A53	3	14	22	13	5	10
CRY1	153	245	789	363	199	398
KIAA1984-AS1	14	10	45	13	0	9
KRTAP19-1	0	0	0	0	0	0
MIR5581	0	0	0	0	0	0
WNT8A	0	0	0	0	0	0
BAGE3	0	0	0	0	0	0
NOXA1	29	64	177	29	18	52
SS18L1	189	343	820	398	210	418
LPO	0	0	0	2	0	4
TSEN54	248	525	1040	313	178	401
MYOD1	0	0	0	0	0	0
FCER1G	4	1	0	3	1	1
CBLN3	2	16	21	6	12	21
CCDC63	0	0	0	0	0	0
GJA9	5	3	9	14	1	13
LOC100288846	2	1	12	6	0	7
LOC100287632	0	0	1	0	0	0
SRCAP	429	636	2623	1376	556	1615
MIR1262	0	0	0	0	0	0
NUDT6	20	55	125	65	29	82
LGALS9	212	437	1025	2800	1310	3141
KLKP1	0	0	0	0	0	0
TTTY13	0	0	0	0	0	0
TMEM61	2	16	14	22	8	11
LOC100506810	0	1	0	2	0	0
C5orf56	10	35	63	202	142	222
DQ598506	0	0	0	0	0	0
BC094874	0	1	1	3	0	3
GPR125	590	911	2446	960	485	982
PCDHGA1	1	5	9	0	1	3
RPL30	3425	6978	13639	6702	3814	7474
ADAM22	22	40	124	15	18	14
POC1A	198	391	871	229	133	283
TMEM212	42	62	192	168	107	121
AK310751	2	2	31	7	6	24
NMRK2	2	1	0	0	0	0
OR10A6	0	0	0	0	0	0
TENM3	22	66	110	48	22	43
KRTAP20-2	0	0	0	0	0	0
NPR2	44	112	171	73	47	92
RNU6-57P	0	0	0	0	0	0
GRIN2A	191	239	798	325	199	373
AK055332	0	0	0	3	0	1
YTHDF3	268	296	1176	813	446	730
TESPA1	0	0	0	0	0	0
TBC1D3C	0	0	0	0	0	0
LSS	919	1929	4500	631	344	755
MIR543	0	0	0	0	0	0
PKDCC	55	99	223	50	24	59
CRTAC1	1	0	1	1	0	0
ZKSCAN2	56	97	271	194	90	210
AX748322	1	1	7	4	1	0
MIR1270-1	0	0	0	0	0	0
MESDC2	768	1283	2794	970	512	933
RHAG	0	2	1	1	1	0
BC018887	36	51	41	48	24	67
THAP5	82	81	300	288	203	234
CHST10	126	266	555	242	116	252
AK023178	76	187	521	183	123	182
SNTG2	0	0	0	0	0	0
SLC2A11	67	136	328	123	41	132
CSTF3-AS1	2	4	17	5	4	6
WAC-AS1	289	368	900	644	366	481
XPO7	816	1210	3510	1329	642	1359
LOC100289187	0	0	0	0	0	0
PSMD7	1288	2310	4781	2752	1537	2584
AK098481	2	3	11	10	2	9
NPAP1	5	14	24	11	3	10
GRIP2	0	0	0	0	0	1
AK130911	0	0	0	0	0	0
PET112	110	189	468	181	79	131
SNORD114-14	0	0	0	0	0	0
TCHHL1	0	0	0	1	0	0
MIR191	0	0	0	0	0	0
SNORD2	0	0	0	0	0	0
SCRT1	0	0	1	0	0	1
BTN3A2	338	553	1261	1035	577	979
PRDM10	57	70	200	113	60	109
CFI	239	362	802	251	147	255
BAIAP2-AS1	178	334	878	277	171	329
AHCTF1P1	8	9	11	10	12	15
KIAA1841	69	106	273	111	72	98
BC033336	0	0	0	0	0	0
BCL2	16	24	76	42	14	32
SMG7	749	1167	3165	2050	1088	2128
DFNB59	5	7	16	3	6	7
KIT	0	1	4	26	4	18
RNU6-64P	0	0	0	0	0	0
DQ594309	0	0	0	0	0	0
COX8A	1399	3271	6109	1276	753	1540
ARL6	27	22	75	43	26	25
IGFBPL1	26	76	151	40	26	41
JA783603	0	0	0	0	0	0
RPL28	4322	10774	19494	9468	4819	11595
LOC100130370	0	0	0	1	0	0
M1AP	0	0	2	2	0	1
DCDC5	0	0	5	2	0	0
GLG1	1757	2913	7837	3496	1823	3727
OR10G7	0	0	0	0	0	0
CEP97	29	24	135	40	27	48
AK057719	9	8	13	9	0	13
TMEM121	7	19	37	4	2	7
OR2AG1	0	0	0	0	0	0
TACR1	0	0	0	0	0	0
EMILIN1	4	2	23	4	10	7
Mir_448	0	0	0	0	0	0
LOC100129931	0	0	0	5	0	0
SREBP-1	1	1	0	0	0	1
MTFP1	536	1128	2289	826	524	914
RP1	1	2	1	4	3	9
U84523	0	0	0	0	0	0
DQ594776	0	0	0	0	0	0
AK055250	0	0	3	5	0	7
RBPJ	322	373	1083	841	474	783
HSPA8	14577	24031	54040	13691	7408	13367
RACGAP1P	0	0	1	0	0	0
DKFZp564G0982	2	1	1	2	0	2
LOC100130700	0	0	0	0	0	0
RPS4Y1	0	0	0	2	0	0
LOC100506321	0	0	1	0	0	2
DQ575060	0	0	0	0	0	0
AREG	1952	3441	6390	9917	5538	8709
CD36	0	1	3	0	0	0
E2F7	235	285	930	616	318	530
DQ570864	0	0	0	0	0	0
CACNB2	1	9	24	6	6	8
PAH	119	137	429	270	167	292
BC030111	0	0	0	0	0	0
RRAGC	194	357	866	763	413	742
FCN2	0	0	0	0	0	0
C3orf36	0	0	0	0	0	0
OR14I1	0	0	0	0	0	0
MIR532	0	0	0	0	0	0
BC034788	0	0	0	0	0	0
LOC100129216	0	0	0	1	1	0
CHIC2	77	126	298	199	143	267
BTBD9	136	226	589	347	175	355
ZNF417	46	48	249	167	112	179
NXNL1	0	0	0	0	0	0
MIPEP	251	358	892	218	116	235
TCEAL7	0	0	0	0	0	0
ATP4B	0	0	0	0	0	0
DQ576637	0	0	0	0	0	0
WDR76	77	108	276	105	60	124
FSTL5	0	0	1	0	0	0
AK123889	206	396	780	648	388	524
OR6C4	0	0	0	0	0	0
TMEM185B	503	857	2112	880	556	1099
PKD1L1	3	4	13	2	0	5
BC045560	0	1	0	0	1	0
GPSM3	30	66	144	102	48	126
NOBOX	0	0	0	0	0	0
LOC407835	0	0	0	0	0	0
SMCO2	4	2	19	21	21	13
ULBP3	34	61	178	63	27	68
BC042876	0	0	0	0	0	0
KCNJ6	0	0	0	3	2	0
SGOL1-AS1	0	0	4	0	0	0
SPON1	4	0	2	2	2	2
PPP1R3G	6	21	13	3	5	7
OR56A3	0	0	0	0	0	0
NALCN	22	55	121	70	31	57
TP53BP2	518	788	2182	2406	1165	2448
TNR	0	0	0	0	0	0
MTHFSD	128	318	660	322	155	375
KRTAP2-2	0	0	0	0	0	0
PHOSPHO2	36	52	116	38	26	38
NIPSNAP3A	74	99	276	115	64	118
NFKBIL1	196	450	1043	548	301	642
NARS	2015	2628	7409	4984	2659	4317
GPATCH2L	44	68	184	163	71	186
AK057321	96	153	556	249	111	260
SNORD114-31	0	0	0	0	0	0
DQ596681	0	0	0	0	0	0
MIR5191	0	0	0	0	0	0
SIPA1L2	12	14	40	41	24	66
WDR52	58	91	230	65	45	58
AY940074	0	0	5	0	0	1
BC087859	19	13	42	119	60	136
SLC26A8	1	0	1	1	6	4
PRDX4	1255	2667	5189	1707	1107	1784
PDC	2	3	6	13	8	8
PCOLCE-AS1	0	2	0	2	0	2
MIR4682	0	0	0	0	0	0
PEX26	323	632	1622	682	362	736
C14orf93	55	106	284	190	89	213
CREB3L1	5	2	3	7	4	15
AK124197	1	3	17	10	6	16
SNORD115-38	0	0	0	0	0	0
LPAR3	52	87	260	112	51	132
HIBADH	1235	1851	4461	2543	1439	2348
B2M	4272	6917	16415	12765	6860	11771
FAM71E2	0	0	0	0	0	0
NBL1	723	1706	2998	1493	917	1434
FCHO2	166	140	567	470	279	370
PUS7	176	209	627	314	205	299
BC030294	4	8	19	16	6	7
UBAC2-AS1	7	7	14	5	4	12
GATSL2	0	5	32	6	1	17
ZNF251	112	236	546	370	180	338
SRGAP2B	88	80	354	153	96	178
LOC100129961	4	15	26	7	1	8
CPNE3	295	314	1073	466	264	417
LOC100506122	0	0	0	0	0	0
CNOT3	324	712	1580	871	433	889
LOC286367	3	6	8	5	2	8
ARFGEF1	506	560	1820	1212	686	1037
SKP1P2	2	1	0	1	0	0
VGF	9	13	23	10	4	7
UQCRH	2847	5900	12162	4535	2281	4597
C5orf27	0	7	13	7	2	6
KCNQ5-AS1	0	0	0	0	0	0
LOC100287846	8	3	9	7	5	3
RANBP3	290	659	1493	563	307	557
DQ575315	0	0	0	0	0	0
GPSM1	41	100	228	150	76	195
DQ597186	0	0	0	0	0	0
DESI2	454	588	1656	1088	761	1051
MIR4251	0	0	0	0	0	0
CYP4F24P	0	0	0	0	0	1
OR4F17	0	1	0	0	0	0
BC068609	19	18	48	12	7	12
YIF1A	561	1351	2744	869	425	1065
DQ601655	0	0	0	0	0	0
AKT1	1090	2063	4510	1714	820	1799
PRAMEF11	0	0	0	0	0	0
ELK4	461	569	1709	1474	968	1333
GTF2H3	305	399	888	578	324	525
DCAF4L2	0	0	0	0	0	0
TYRP1	2	2	2	1	0	3
COMMD4	454	1213	2365	370	208	407
AGO2	194	317	1084	1020	483	1219
PSG8	1	0	0	1	0	0
KRT85	0	0	0	0	0	0
AX746487	0	0	1	0	0	1
MOGAT1	53	76	238	77	59	84
C1QTNF2	1	2	11	0	1	1
TRB	0	0	0	0	0	0
ANAPC13	456	652	1688	987	518	861
AL109792	0	0	0	0	0	0
CCDC107	53	134	261	110	55	96
ALDH1L1-AS2	1	0	5	3	3	2
TCTE1	0	1	0	0	1	0
GATSL3	108	236	496	373	187	434
B3GNT7	141	254	610	993	493	1251
PROX1	3	0	4	13	3	13
MIR377	0	0	0	0	0	0
CENPQ	212	233	574	427	302	406
C1GALT1C1	399	546	1409	898	464	785
SAA2-SAA4	51	163	196	360	201	436
CSE1L	3556	4838	12272	4230	2296	3858
DQ580595	0	0	0	0	0	0
FLJ20518	0	0	8	4	0	2
KRTAP6-3	0	0	0	0	0	0
MIR329-2	0	0	0	0	0	0
CSNK1A1	1235	1537	4463	3473	1988	3513
MIR517C	0	0	0	0	0	0
DQ597697	0	0	0	0	0	0
EMB	555	599	1864	881	488	744
DQ588300	0	0	0	0	0	0
AK000840	0	0	0	0	0	0
CYP2E1	8	18	38	37	11	35
MIR3668	0	0	0	0	0	0
FTL	12307	27074	53179	26119	12875	29194
LOC256021	3	5	11	18	12	15
ASPDH	2	4	5	1	2	2
AK097722	0	0	0	0	0	0
MIR516B1	0	0	0	0	0	0
C1orf226	101	178	468	234	118	320
CNTNAP2	5	7	9	8	2	2
RAB9B	21	43	110	36	13	25
LINC00657	3031	3589	11474	8651	5248	8026
ZNF569	19	27	69	26	12	31
BPIFB6	0	0	0	0	0	0
BC144457	32	42	59	39	0	48
HMGXB4	251	341	1070	958	504	878
MGC39545	0	1	0	1	3	0
PI3	183	461	869	550	272	653
ZDHHC4	475	1034	1890	730	444	762
DOPEY2	71	105	297	300	154	244
JMJD1C	485	456	1554	1781	983	1575
MIR99B	0	0	0	0	0	0
CCDC39	10	2	19	7	0	7
SOAT1	1499	2069	5697	3284	1626	2809
AK131347	0	1	3	1	4	7
DQ590864	0	0	0	0	0	0
PMM2	460	968	2082	824	377	811
GPR144	0	1	0	0	2	0
CYP2S1	37	128	276	140	48	163
DQ586551	0	0	0	0	0	0
MYF5	0	0	0	0	0	0
PMPCA	362	691	1403	390	180	407
CSRNP3	12	2	29	7	8	7
CDRT7	0	0	0	0	0	0
CYYR1	0	0	0	0	0	0
LIN7A	6	5	12	3	2	7
MBD3L2	0	0	0	0	0	0
DLEU2	24	26	75	35	23	15
OR4C16	0	0	0	0	0	0
Z49982	0	0	1	0	0	0
MIR1258	0	0	0	0	0	0
OR4M1	0	0	0	0	0	0
HHIPL2	0	1	3	1	3	1
AK309922	2	2	7	5	1	6
ERVV-2	0	0	0	0	0	0
TREML5P	0	0	0	0	0	0
KLHDC9	43	86	163	24	27	46
BC010168	0	0	0	0	0	0
LIN28B	0	0	0	1	0	0
DQ595383	0	0	0	0	0	0
DDX4	0	0	2	1	0	1
RFX4	0	0	1	0	1	1
FADS3	200	425	875	451	214	516
MIR876	0	0	0	0	0	0
BC039356	0	0	2	1	0	1
KIAA1024	29	29	90	69	30	52
ADIPOR2	1149	1850	4522	1909	1050	1826
DQ585755	0	0	0	0	0	0
TENM1	0	2	3	1	0	0
MIR1908	0	0	0	0	0	0
MEGF11	1	1	2	1	1	6
SRR	30	58	164	71	38	67
ERH	1613	2540	6043	2084	1116	2081
GOLGA4	525	603	1529	1290	834	1097
BPIFA3	0	0	0	0	0	0
BC038750	0	0	0	0	0	0
ATG4C	155	156	446	242	166	208
APLF	30	52	99	75	39	53
KBTBD13	0	0	0	0	0	0
FANCI	1389	2226	5291	1414	822	1412
ZDHHC21	113	111	403	238	152	207
MYLPF	0	3	3	0	1	1
RAB11FIP4	314	520	1338	714	377	730
PSD3	266	278	874	617	353	570
BC043544	0	0	0	0	0	0
POLK	183	175	608	517	362	450
YARS	873	1580	3435	4405	2106	3989
TEX22	2	7	11	2	1	7
TBC1D3P5	2	0	5	3	1	4
CCDC101	72	163	307	153	103	163
RNF215	233	493	1134	732	500	849
ADIRF	1	10	15	7	4	7
MIR4265	0	0	0	0	0	0
GPATCH2	143	190	554	418	225	468
RAP1A	282	343	996	555	274	529
DDI2	22	24	119	55	17	74
CHIC1	74	78	192	129	65	113
LOC649395	0	0	0	0	0	0
TBC1D26	0	1	0	2	1	6
GATA4	25	50	125	82	35	86
TRPM4	166	447	857	591	313	720
DQ578010	0	0	0	0	0	0
FIGNL2	0	1	2	1	2	0
SVEP1	2	3	6	11	4	5
C19orf48	981	2221	4120	2032	889	2109
JA611291	0	0	0	0	0	0
THBS3	71	141	309	199	125	200
SSPO	0	0	1	0	0	1
LOC100129427	0	0	3	1	0	1
AX747132	12	26	42	45	20	29
MCOLN2	86	110	333	131	94	125
DQ586285	0	0	0	0	0	0
AK096395	4	3	12	19	15	20
CCND2	1	5	10	5	0	7
MIR141	0	0	0	0	0	0
UNC5B	5	5	0	3	4	5
WDFY1	380	336	1283	1014	569	856
EVI5	101	113	346	262	126	247
RAB44	0	0	0	1	0	2
DQ571738	0	0	0	0	0	0
OTUD7B	167	284	814	680	400	774
RPL19	37995	79606	155078	71336	38186	77118
ADGB	0	0	0	0	0	0
LOC100422737	27	52	94	38	33	36
LINC00319	2	2	3	23	7	17
SYNPO	44	87	214	363	187	400
AX748339	12	22	56	26	23	33
RNF130	499	975	2016	576	388	797
SLC26A3	0	0	0	0	0	0
QRFP	1	0	0	0	0	0
AK131020	0	1	6	1	1	0
MIR485	0	0	0	0	0	0
EFNA5	695	1266	2688	1606	1031	1648
DENND3	300	556	1281	2111	1008	2143
IMP3	840	1862	3378	722	411	874
ENPP2	0	1	2	5	6	2
ZNF578	6	27	49	18	23	21
HDAC7	224	508	1062	681	313	729
PIGQ	368	1037	2156	519	291	579
FAM218A	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0
SNORA78	0	0	0	0	0	0
LRP4-AS1	1	5	8	1	0	4
PPP1R3B	574	828	2427	1858	1112	1829
DFNB31	30	64	115	40	38	62
PCDHB7	0	4	4	1	2	5
TBCCD1	150	223	623	245	146	255
PA2G4	2284	4175	8878	3580	1791	3261
CHRNA9	0	0	0	0	0	0
BTBD6	215	417	827	277	160	343
POM121L4P	0	0	0	0	0	0
QDPR	218	473	993	314	161	328
COX5B	1721	3763	6243	1614	1077	1847
NEFH	0	0	0	0	0	0
LOC100130872	4	7	22	13	8	21
CT47A3	0	0	0	0	0	0
MSH3	100	147	366	214	121	173
LRRC40	150	147	667	283	145	232
ATOH7	4	3	9	2	0	5
BC043227	1	4	1	0	0	1
ZP1	0	0	0	0	0	0
IGFALS	0	3	6	0	3	7
LIPM	0	0	0	0	0	0
GOLGA8DP	0	0	0	0	0	1
DQ598082	0	0	0	0	0	0
MIR4711	0	0	0	0	0	0
BC087857	0	1	1	4	0	3
CACNG3	0	0	0	0	0	0
DKFZP434H168	0	0	0	0	0	0
TLR2	92	119	311	287	202	298
SMC1B	2	2	3	0	6	1
HEPHL1	1	2	3	2	0	3
BC053935	98	241	353	176	148	160
PCSK2	0	0	0	0	0	0
KRTAP5-6	0	0	0	1	0	1
ITGAL	0	0	3	1	2	3
OR56A1	0	0	0	0	0	0
AMD1	896	1185	3598	1338	753	1142
FAM228A	0	0	0	0	0	3
PSMA1	1653	2710	5853	2396	1378	2302
THAP7	154	494	855	245	156	309
IDI2-AS1	19	19	49	37	14	28
PPP4R4	2	9	5	49	33	57
AK125858	2	6	14	8	4	16
LGI3	0	0	7	2	0	5
FAM135A	480	516	1762	1185	737	1038
HGFAC	0	0	3	0	0	1
C2orf72	7	18	46	3	7	7
MIR578	0	0	0	0	0	0
LRRC16A	868	1233	3610	1687	957	1722
DQ592332	0	0	0	0	0	0
DQ588124	0	0	0	0	0	0
IFFO2	252	401	955	792	421	804
SEPP1	21	25	55	27	8	11
KRCC1	425	499	1217	865	544	842
TMEM106C	898	1549	3551	1105	577	1212
BC031884	0	0	0	0	0	0
PF4V1	0	0	0	1	0	3
BC039523	0	1	6	0	3	4
SIRT6	108	235	528	234	94	264
BC035392	3	2	4	0	0	0
TMEM110	153	250	616	321	156	301
LINC00311	0	2	6	3	0	0
MIR510	0	0	0	0	0	0
ACAP2	388	337	1213	698	436	591
MIPEPP3	2	8	17	3	0	4
GPR137	154	332	719	277	131	278
C15orf39	405	915	2142	1989	978	2315
MIR4698	0	0	0	0	0	0
FAM102B	130	155	485	226	160	182
UHRF1	461	771	2000	552	271	517
CCDC13	2	1	4	2	4	2
EPB41L3	0	0	0	0	0	0
JA375049	0	0	0	0	0	0
MROH7	1	1	6	3	1	0
BC027448	0	0	9	7	3	8
SERPINB8	266	348	1034	642	283	629
ANGPTL3	1	0	0	0	0	1
UGT2B15	7	18	44	10	9	10
SNORA55	0	0	0	0	0	1
FBXL13	2	9	32	9	8	9
AX746617	21	55	72	71	35	57
SNORD19B	0	0	0	0	0	0
DQ573962	0	0	0	0	0	0
FMO4	32	56	163	145	62	116
IGKV3-11	0	0	0	0	0	0
ANKRD18B	22	30	67	81	56	68
TMED10	2414	3639	8989	2800	1715	2920
FLJ41423	0	0	0	0	0	0
DQ598002	0	0	0	0	0	0
OARD1	203	416	820	558	290	500
LOXHD1	0	0	0	1	0	1
BC031872	0	0	0	0	0	0
SCARNA5	1	2	0	3	0	33
DQ574964	0	0	0	0	0	0
RNF207	90	212	441	261	130	303
FLJ23584	56	142	246	113	92	140
TFAM	667	682	2135	1228	686	955
LINC00909	78	143	255	243	134	222
DQ598931	0	0	0	0	0	0
NADKD1	111	172	450	211	131	222
SNAR-E	0	0	0	0	0	0
BC047487	0	0	0	0	0	0
TMEM252	0	0	0	0	0	0
CLDN6	13	57	112	65	40	84
HH834010	0	0	0	0	0	0
CRYZ	1384	1562	4883	1161	691	1231
COL10A1	0	1	2	1	0	0
IL36G	1	2	0	10	3	5
AK130824	23	11	72	44	31	27
ATE1	40	47	187	82	40	104
NR2C1	208	327	786	494	250	408
LINC00028	0	0	0	0	0	0
DQ583728	0	0	0	0	0	0
LOC147646	0	0	0	0	0	0
NEBL	69	94	282	185	96	174
SDHAF1	121	301	632	177	133	246
MIR676	0	0	0	0	0	0
DNAJC9-AS1	0	2	7	1	2	12
MPHOSPH10	457	618	1353	736	449	616
BC053580	1	4	16	7	0	10
GALC	214	256	736	330	196	320
FBXO5	170	229	549	217	123	210
GAGE12J	0	0	0	0	0	0
AASDHPPT	188	202	793	427	246	383
VWA5B1	0	0	8	4	0	5
PCDHB9	23	50	83	58	19	52
C8orf15	0	0	0	0	0	0
RASGRP4	4	10	15	5	4	14
ITGB3BP	260	349	858	311	251	299
ACACA	2299	3837	10477	2753	1435	2809
ZNF396	13	13	23	33	7	24
RPS11	8402	17241	35144	16766	9508	19729
GIGYF2	445	711	2067	1190	666	1175
SERPINA6	54	84	208	201	116	241
CYP27B1	10	15	64	29	9	31
RETN	0	0	0	0	0	0
ZBTB26	21	31	95	61	45	67
AK125558	0	22	90	15	0	45
LOC100129550	32	43	126	79	66	90
GPS1	878	1828	3844	958	546	1209
ESYT1	1063	1885	4473	1572	789	1701
ZBTB20-AS1	0	0	0	0	0	0
LOC441454	2	4	8	5	2	7
KAZN	18	69	127	67	30	62
GPR128	4	8	15	14	2	10
FLJ41278	0	0	2	0	0	0
C4orf40	1	0	0	0	0	0
RNF41	222	444	1135	975	467	1052
DQ576734	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0
MRPL42	444	588	1477	745	395	623
LOC100130075	0	0	0	0	0	1
GAB2	119	184	566	572	260	626
DNAH12	3	6	9	5	3	8
TAC4	0	0	2	1	2	1
PPAPDC2	140	229	486	342	227	363
HOXB2	140	257	652	237	180	309
EPS8L2	1238	2725	5470	2454	1416	2922
RHPN2	354	501	1598	1194	562	1023
KIAA1429	301	452	1122	643	301	694
KRTCAP3	254	681	1222	424	249	513
SFTA1P	12	14	35	27	5	21
SH3RF2	156	254	687	547	277	529
C19orf54	108	153	395	356	168	337
DQ588149	0	0	0	0	0	0
HNRNPU	3938	5899	14397	6265	3263	5838
TOR1A	346	593	1481	571	305	574
FBXO24	0	3	2	5	1	5
PCDHGA12	1	11	9	9	7	4
AL390170	0	0	0	0	0	0
LOC387723	1	2	5	0	0	3
HELT	0	0	2	0	0	0
KIAA1731	179	221	539	479	258	375
BC067269	0	0	0	0	0	0
ROBO3	0	4	1	15	6	5
DQ583161	0	0	0	0	0	0
IGIP	19	41	99	51	40	45
BC040572	0	1	8	1	2	3
SNORD88C	0	0	0	0	0	0
CYP11B2	0	0	0	0	0	0
TNFAIP8L2	0	0	1	0	0	0
CRELD1	221	476	990	503	311	532
BRF1	200	459	931	264	124	306
MTPAP	206	258	659	403	230	442
DHRS4	116	221	487	97	81	170
COPB2	2509	3661	9645	4114	2069	3746
AK055980	0	0	0	0	0	0
EAF1	209	294	891	771	375	687
STK32B	0	0	0	0	0	0
ZNF823	57	61	133	150	108	171
FAM194A	0	6	7	2	0	3
IL22RA2	0	0	0	0	0	0
MIR216B	0	0	0	0	0	0
TTC23L	2	1	1	2	6	1
MPL	2	0	23	9	5	6
PPEF1	0	1	0	4	1	10
ALDH3A2	308	490	1208	342	197	369
NUPL1	290	309	1128	672	336	562
DQ576791	0	0	0	0	0	0
MIR5003	0	0	0	0	0	0
LOC100506990	124	246	463	170	104	195
AK311383	7	14	34	8	3	25
CSPG4P8	6	16	49	25	9	35
BC122864	0	5	7	5	7	6
