gene	logFC	p_val	pval_adj	cell
LOC100506844	0.31	4.63E-20	1.23E-15	Mast Cell/Basophil Type 1
PARVB	0.27	5.28E-20	1.40E-15	Mast Cell/Basophil Type 1
MORF4L2	0.28	8.01E-20	2.12E-15	Mast Cell/Basophil Type 1
COX17	0.28	8.14E-20	2.16E-15	Mast Cell/Basophil Type 1
ARID5A	0.26	1.72E-19	4.55E-15	Mast Cell/Basophil Type 1
LYRM5	0.27	1.78E-19	4.71E-15	Mast Cell/Basophil Type 1
SOX4	0.37	1.85E-19	4.90E-15	Mast Cell/Basophil Type 1
CSF1	0.41	2.06E-19	5.46E-15	Mast Cell/Basophil Type 1
ADI1	0.25	2.50E-19	6.61E-15	Mast Cell/Basophil Type 1
FBXL3	0.28	3.41E-19	9.04E-15	Mast Cell/Basophil Type 1
TNFRSF4	0.35	3.67E-19	9.73E-15	Mast Cell/Basophil Type 1
EGFL7	0.28	4.40E-19	1.17E-14	Mast Cell/Basophil Type 1
LAIR1	0.29	4.59E-19	1.22E-14	Mast Cell/Basophil Type 1
ESYT1	0.28	4.76E-19	1.26E-14	Mast Cell/Basophil Type 1
PCNP	0.27	5.07E-19	1.34E-14	Mast Cell/Basophil Type 1
M6PR	0.25	5.73E-19	1.52E-14	Mast Cell/Basophil Type 1
MIER1	0.29	6.33E-19	1.68E-14	Mast Cell/Basophil Type 1
SLC1A5	0.29	1.54E-18	4.08E-14	Mast Cell/Basophil Type 1
SERPINB1	0.35	1.56E-18	4.13E-14	Mast Cell/Basophil Type 1
UBA7	0.29	2.06E-18	5.47E-14	Mast Cell/Basophil Type 1
RAB37	0.32	2.17E-18	5.75E-14	Mast Cell/Basophil Type 1
C1orf228	0.25	3.01E-18	7.98E-14	Mast Cell/Basophil Type 1
RBM8A	0.27	3.68E-18	9.75E-14	Mast Cell/Basophil Type 1
HOXB2	0.31	7.46E-18	1.97E-13	Mast Cell/Basophil Type 1
FHL3	0.29	1.11E-17	2.95E-13	Mast Cell/Basophil Type 1
TMEM154	0.32	1.21E-17	3.21E-13	Mast Cell/Basophil Type 1
BIRC3	0.59	2.22E-17	5.87E-13	Mast Cell/Basophil Type 1
NUCKS1	0.29	2.26E-17	5.99E-13	Mast Cell/Basophil Type 1
DTNBP1	0.26	3.11E-17	8.23E-13	Mast Cell/Basophil Type 1
GPR65	0.33	3.70E-17	9.79E-13	Mast Cell/Basophil Type 1
UGP2	0.29	4.72E-17	1.25E-12	Mast Cell/Basophil Type 1
TSTD1	0.3	5.01E-17	1.33E-12	Mast Cell/Basophil Type 1
TSEN54	0.35	5.92E-17	1.57E-12	Mast Cell/Basophil Type 1
ATP5C1	0.26	8.49E-17	2.25E-12	Mast Cell/Basophil Type 1
SVIP	0.35	9.18E-17	2.43E-12	Mast Cell/Basophil Type 1
TMEM14C	0.26	1.42E-16	3.77E-12	Mast Cell/Basophil Type 1
EMP3	0.25	1.53E-16	4.05E-12	Mast Cell/Basophil Type 1
LDHB	0.28	1.58E-16	4.18E-12	Mast Cell/Basophil Type 1
SDCBP	0.28	1.68E-16	4.45E-12	Mast Cell/Basophil Type 1
VAPA	0.27	2.09E-16	5.55E-12	Mast Cell/Basophil Type 1
ECH1	0.26	5.21E-16	1.38E-11	Mast Cell/Basophil Type 1
EIF1AY	0.28	5.26E-16	1.39E-11	Mast Cell/Basophil Type 1
C12orf57	0.29	7.77E-16	2.06E-11	Mast Cell/Basophil Type 1
ANTXR2	0.29	8.36E-16	2.21E-11	Mast Cell/Basophil Type 1
EPAS1	0.27	1.01E-15	2.67E-11	Mast Cell/Basophil Type 1
ARHGAP25	0.31	1.33E-15	3.53E-11	Mast Cell/Basophil Type 1
PPP1R10	0.26	2.11E-15	5.59E-11	Mast Cell/Basophil Type 1
KMT2E-AS1	0.29	2.27E-14	6.01E-10	Mast Cell/Basophil Type 1
ILF3-AS1	0.3	2.49E-14	6.58E-10	Mast Cell/Basophil Type 1
GABPB1	0.26	3.38E-14	8.95E-10	Mast Cell/Basophil Type 1
LAX1	0.28	3.43E-14	9.08E-10	Mast Cell/Basophil Type 1
CDC42EP3	0.29	1.34E-13	3.54E-09	Mast Cell/Basophil Type 1
HMGN3	0.26	2.07E-12	5.48E-08	Mast Cell/Basophil Type 1
TPST2	0.27	2.10E-12	5.56E-08	Mast Cell/Basophil Type 1
SOCS2	0.25	4.46E-12	1.18E-07	Mast Cell/Basophil Type 1
SH3KBP1	0.26	7.16E-12	1.90E-07	Mast Cell/Basophil Type 1
DNAJB1	0.26	9.64E-11	2.55E-06	Mast Cell/Basophil Type 1
DUSP6	0.28	1.88E-10	4.98E-06	Mast Cell/Basophil Type 1
DDIT4	0.26	1.11E-05	0.293550895	Mast Cell/Basophil Type 1
TPSAB1	10.55	1.38E-51	8.42E-47	Mast Cell/Basophil Type 1_SS2
TPSB2	9.08	6.52E-51	3.98E-46	Mast Cell/Basophil Type 1_SS2
IL1RL1	6.53	1.77E-50	1.08E-45	Mast Cell/Basophil Type 1_SS2
MS4A2	8.08	2.40E-49	1.46E-44	Mast Cell/Basophil Type 1_SS2
TPSD1	8	2.40E-49	1.46E-44	Mast Cell/Basophil Type 1_SS2
HPGDS	7.54	2.40E-49	1.46E-44	Mast Cell/Basophil Type 1_SS2
RHEX	7.27	3.65E-49	2.22E-44	Mast Cell/Basophil Type 1_SS2
CPA3	8.29	8.92E-48	5.44E-43	Mast Cell/Basophil Type 1_SS2
HDC	7.6	1.94E-46	1.18E-41	Mast Cell/Basophil Type 1_SS2
MAOB	6.31	3.09E-46	1.89E-41	Mast Cell/Basophil Type 1_SS2
GATA2	6.01	3.90E-46	2.38E-41	Mast Cell/Basophil Type 1_SS2
KIT	6.35	1.12E-45	6.83E-41	Mast Cell/Basophil Type 1_SS2
TIMP3	4.77	6.18E-43	3.77E-38	Mast Cell/Basophil Type 1_SS2
SLC24A3	5.17	2.99E-41	1.82E-36	Mast Cell/Basophil Type 1_SS2
AL078590.3	5.57	5.53E-40	3.37E-35	Mast Cell/Basophil Type 1_SS2
MLPH	5.32	5.30E-39	3.23E-34	Mast Cell/Basophil Type 1_SS2
LINC01835	5.37	5.32E-39	3.24E-34	Mast Cell/Basophil Type 1_SS2
CLU	4.72	2.73E-38	1.66E-33	Mast Cell/Basophil Type 1_SS2
SIGLEC6	3.8	3.70E-38	2.26E-33	Mast Cell/Basophil Type 1_SS2
SLC18A2	5.56	4.63E-37	2.82E-32	Mast Cell/Basophil Type 1_SS2
TMEM233	5.42	2.04E-36	1.24E-31	Mast Cell/Basophil Type 1_SS2
PTGS1	3.9	3.38E-35	2.06E-30	Mast Cell/Basophil Type 1_SS2
VWA5A	4.04	6.52E-35	3.97E-30	Mast Cell/Basophil Type 1_SS2
CAVIN1	5.71	7.54E-35	4.60E-30	Mast Cell/Basophil Type 1_SS2
DLC1	5.35	7.56E-35	4.61E-30	Mast Cell/Basophil Type 1_SS2
GCSAML	4.86	1.32E-34	8.07E-30	Mast Cell/Basophil Type 1_SS2
KIAA1549	5.18	1.87E-34	1.14E-29	Mast Cell/Basophil Type 1_SS2
CPM	3.98	1.15E-33	7.02E-29	Mast Cell/Basophil Type 1_SS2
RAB27B	3.84	1.93E-33	1.18E-28	Mast Cell/Basophil Type 1_SS2
CD9	4.18	2.29E-33	1.39E-28	Mast Cell/Basophil Type 1_SS2
RGS13	5.73	5.85E-33	3.57E-28	Mast Cell/Basophil Type 1_SS2
ADAM12	4.36	1.30E-32	7.90E-28	Mast Cell/Basophil Type 1_SS2
FCER1A	3.94	3.69E-32	2.25E-27	Mast Cell/Basophil Type 1_SS2
AL157895.1	5.24	5.08E-31	3.09E-26	Mast Cell/Basophil Type 1_SS2
PIK3R6	3.32	2.01E-30	1.22E-25	Mast Cell/Basophil Type 1_SS2
CAVIN2	4.42	2.26E-30	1.38E-25	Mast Cell/Basophil Type 1_SS2
HPGD	4.58	4.13E-30	2.52E-25	Mast Cell/Basophil Type 1_SS2
RAB44	3.33	4.29E-30	2.62E-25	Mast Cell/Basophil Type 1_SS2
AHNAK2	4.38	5.04E-30	3.07E-25	Mast Cell/Basophil Type 1_SS2
CNRIP1	5.12	6.61E-30	4.03E-25	Mast Cell/Basophil Type 1_SS2
EPB41L1	4.46	7.50E-30	4.57E-25	Mast Cell/Basophil Type 1_SS2
TMEM44	4.74	1.05E-29	6.41E-25	Mast Cell/Basophil Type 1_SS2
BACE2	3.31	2.14E-29	1.31E-24	Mast Cell/Basophil Type 1_SS2
LMNA	3.23	5.18E-29	3.16E-24	Mast Cell/Basophil Type 1_SS2
GATA1	5.48	1.67E-28	1.02E-23	Mast Cell/Basophil Type 1_SS2
LIF	4.65	1.67E-28	1.02E-23	Mast Cell/Basophil Type 1_SS2
ITGA9	4.76	2.23E-28	1.36E-23	Mast Cell/Basophil Type 1_SS2
NTRK1	5.58	3.42E-28	2.09E-23	Mast Cell/Basophil Type 1_SS2
NTM	5.45	1.25E-27	7.59E-23	Mast Cell/Basophil Type 1_SS2
CTTNBP2	3.97	1.85E-27	1.13E-22	Mast Cell/Basophil Type 1_SS2
SIGLEC17P	2.87	2.07E-27	1.26E-22	Mast Cell/Basophil Type 1_SS2
RHOBTB3	2.68	1.44E-26	8.78E-22	Mast Cell/Basophil Type 1_SS2
CAPG	3.38	1.51E-26	9.20E-22	Mast Cell/Basophil Type 1_SS2
HS3ST1	4.01	2.27E-26	1.38E-21	Mast Cell/Basophil Type 1_SS2
ARHGAP18	2.77	3.03E-26	1.85E-21	Mast Cell/Basophil Type 1_SS2
EMID1	4.84	4.37E-26	2.67E-21	Mast Cell/Basophil Type 1_SS2
RGS1	3.55	1.42E-25	8.66E-21	Mast Cell/Basophil Type 1_SS2
KRT19	4.26	4.99E-25	3.04E-20	Mast Cell/Basophil Type 1_SS2
KIAA1522	4.63	6.89E-25	4.20E-20	Mast Cell/Basophil Type 1_SS2
EPAS1	3.04	1.56E-24	9.50E-20	Mast Cell/Basophil Type 1_SS2
MEIS2	4.39	1.84E-24	1.12E-19	Mast Cell/Basophil Type 1_SS2
ACER3	2.47	2.09E-24	1.28E-19	Mast Cell/Basophil Type 1_SS2
ZNF462	3.67	1.29E-23	7.85E-19	Mast Cell/Basophil Type 1_SS2
INKA1	4.54	1.32E-23	8.02E-19	Mast Cell/Basophil Type 1_SS2
PMP22	4.08	1.46E-23	8.93E-19	Mast Cell/Basophil Type 1_SS2
EVPL	4.86	1.74E-23	1.06E-18	Mast Cell/Basophil Type 1_SS2
ACSL4	3.41	2.38E-23	1.45E-18	Mast Cell/Basophil Type 1_SS2
PROCR	4.24	4.77E-23	2.91E-18	Mast Cell/Basophil Type 1_SS2
PBX1	4.09	6.73E-23	4.10E-18	Mast Cell/Basophil Type 1_SS2
PDE7B	3.34	6.96E-23	4.24E-18	Mast Cell/Basophil Type 1_SS2
AC020916.1	2.56	6.97E-23	4.25E-18	Mast Cell/Basophil Type 1_SS2
FOSB	2.45	8.59E-23	5.24E-18	Mast Cell/Basophil Type 1_SS2
PLAT	5.21	1.04E-22	6.36E-18	Mast Cell/Basophil Type 1_SS2
CDK15	4.09	1.33E-22	8.09E-18	Mast Cell/Basophil Type 1_SS2
ENPP3	3.57	1.37E-22	8.37E-18	Mast Cell/Basophil Type 1_SS2
PAQR5	4.71	1.81E-22	1.10E-17	Mast Cell/Basophil Type 1_SS2
AL049647.1	4.46	2.37E-22	1.44E-17	Mast Cell/Basophil Type 1_SS2
SCIN	3.44	2.67E-22	1.63E-17	Mast Cell/Basophil Type 1_SS2
ZNRF1	3.05	3.45E-22	2.11E-17	Mast Cell/Basophil Type 1_SS2
AL731557.1	3.71	4.01E-22	2.45E-17	Mast Cell/Basophil Type 1_SS2
TMEM220	2.19	4.39E-22	2.67E-17	Mast Cell/Basophil Type 1_SS2
SLC44A1	2.53	5.50E-22	3.35E-17	Mast Cell/Basophil Type 1_SS2
NRCAM	5.05	9.79E-22	5.97E-17	Mast Cell/Basophil Type 1_SS2
SLC26A2	3.07	1.25E-21	7.62E-17	Mast Cell/Basophil Type 1_SS2
ALDH1A1	3.74	1.91E-21	1.16E-16	Mast Cell/Basophil Type 1_SS2
HS6ST1	3.33	2.08E-21	1.27E-16	Mast Cell/Basophil Type 1_SS2
ERG	4.14	2.21E-21	1.35E-16	Mast Cell/Basophil Type 1_SS2
TPSG1	4.41	5.32E-21	3.24E-16	Mast Cell/Basophil Type 1_SS2
RN7SL494P	4.15	5.32E-21	3.24E-16	Mast Cell/Basophil Type 1_SS2
GMPR	3.49	7.79E-21	4.75E-16	Mast Cell/Basophil Type 1_SS2
AC120498.2	2.38	1.08E-20	6.57E-16	Mast Cell/Basophil Type 1_SS2
BATF	2.85	1.39E-20	8.47E-16	Mast Cell/Basophil Type 1_SS2
PALLD	2.46	1.41E-20	8.61E-16	Mast Cell/Basophil Type 1_SS2
CSF1	2.92	1.47E-20	8.95E-16	Mast Cell/Basophil Type 1_SS2
LPCAT2	3	1.53E-20	9.31E-16	Mast Cell/Basophil Type 1_SS2
P2RX1	1.81	1.63E-20	9.95E-16	Mast Cell/Basophil Type 1_SS2
FERMT2	4.25	4.99E-20	3.04E-15	Mast Cell/Basophil Type 1_SS2
KCNH2	3.99	5.59E-20	3.41E-15	Mast Cell/Basophil Type 1_SS2
CD82	2.21	9.78E-20	5.96E-15	Mast Cell/Basophil Type 1_SS2
SIGLEC8	3.93	1.01E-19	6.15E-15	Mast Cell/Basophil Type 1_SS2
CTNNBL1	2.09	1.03E-19	6.27E-15	Mast Cell/Basophil Type 1_SS2
ZNF704	3.22	1.23E-19	7.50E-15	Mast Cell/Basophil Type 1_SS2
LTC4S	3.32	1.26E-19	7.67E-15	Mast Cell/Basophil Type 1_SS2
CD22	0.7	1.38E-19	8.39E-15	Mast Cell/Basophil Type 1_SS2
MAP1A	3.47	1.55E-19	9.43E-15	Mast Cell/Basophil Type 1_SS2
UNC5B	3.73	1.56E-19	9.52E-15	Mast Cell/Basophil Type 1_SS2
TNIK	1.68	1.69E-19	1.03E-14	Mast Cell/Basophil Type 1_SS2
TNS1	3.98	3.32E-19	2.03E-14	Mast Cell/Basophil Type 1_SS2
CD63	2.33	4.42E-19	2.69E-14	Mast Cell/Basophil Type 1_SS2
AHR	2.08	6.09E-19	3.71E-14	Mast Cell/Basophil Type 1_SS2
IL18R1	2	8.02E-19	4.89E-14	Mast Cell/Basophil Type 1_SS2
AL138828.1	3.12	8.81E-19	5.37E-14	Mast Cell/Basophil Type 1_SS2
ELL2	1.38	1.02E-18	6.24E-14	Mast Cell/Basophil Type 1_SS2
TTC7B	2.87	1.18E-18	7.19E-14	Mast Cell/Basophil Type 1_SS2
ANKRD28	2.38	1.37E-18	8.33E-14	Mast Cell/Basophil Type 1_SS2
ATP6V0A2	2.29	1.92E-18	1.17E-13	Mast Cell/Basophil Type 1_SS2
SMIM3	2.11	2.15E-18	1.31E-13	Mast Cell/Basophil Type 1_SS2
DHRS9	3.6	2.48E-18	1.51E-13	Mast Cell/Basophil Type 1_SS2
KRT1	2.55	2.49E-18	1.52E-13	Mast Cell/Basophil Type 1_SS2
KREMEN1	1.73	2.55E-18	1.55E-13	Mast Cell/Basophil Type 1_SS2
FER	2.17	2.83E-18	1.73E-13	Mast Cell/Basophil Type 1_SS2
RRBP1	2.13	3.67E-18	2.24E-13	Mast Cell/Basophil Type 1_SS2
SLC1A5	2.51	3.74E-18	2.28E-13	Mast Cell/Basophil Type 1_SS2
ASRGL1	3.06	4.62E-18	2.81E-13	Mast Cell/Basophil Type 1_SS2
RHBDD2	1.86	7.68E-18	4.69E-13	Mast Cell/Basophil Type 1_SS2
CD59	2.11	8.06E-18	4.91E-13	Mast Cell/Basophil Type 1_SS2
GPX1P1	2.17	8.14E-18	4.96E-13	Mast Cell/Basophil Type 1_SS2
RGS2	2.2	1.48E-17	8.99E-13	Mast Cell/Basophil Type 1_SS2
LINC00676	1	1.84E-17	1.12E-12	Mast Cell/Basophil Type 1_SS2
SLC45A3	4	1.89E-17	1.16E-12	Mast Cell/Basophil Type 1_SS2
AC092979.1	2.46	1.89E-17	1.16E-12	Mast Cell/Basophil Type 1_SS2
VAT1	2.61	1.91E-17	1.17E-12	Mast Cell/Basophil Type 1_SS2
FLJ21408	3.81	1.92E-17	1.17E-12	Mast Cell/Basophil Type 1_SS2
CPEB4	1.82	2.59E-17	1.58E-12	Mast Cell/Basophil Type 1_SS2
LXN	3.3	2.67E-17	1.63E-12	Mast Cell/Basophil Type 1_SS2
PLIN2	2.33	2.80E-17	1.71E-12	Mast Cell/Basophil Type 1_SS2
RD3	4.74	3.85E-17	2.35E-12	Mast Cell/Basophil Type 1_SS2
ABCC4	2.36	3.99E-17	2.43E-12	Mast Cell/Basophil Type 1_SS2
AKAP5	3.35	4.04E-17	2.46E-12	Mast Cell/Basophil Type 1_SS2
CD33	2.22	9.29E-17	5.66E-12	Mast Cell/Basophil Type 1_SS2
LRP4	4.76	1.07E-16	6.50E-12	Mast Cell/Basophil Type 1_SS2
LAPTM4A	2.41	1.16E-16	7.05E-12	Mast Cell/Basophil Type 1_SS2
SLC11A2	2.12	1.19E-16	7.23E-12	Mast Cell/Basophil Type 1_SS2
FAM129B	2.51	1.27E-16	7.74E-12	Mast Cell/Basophil Type 1_SS2
SOX13	2.1	1.42E-16	8.69E-12	Mast Cell/Basophil Type 1_SS2
SMYD3	2.47	1.79E-16	1.09E-11	Mast Cell/Basophil Type 1_SS2
LMO4	2.48	1.88E-16	1.14E-11	Mast Cell/Basophil Type 1_SS2
BMP2K	2.95	1.91E-16	1.17E-11	Mast Cell/Basophil Type 1_SS2
PLPP1	3.48	2.09E-16	1.28E-11	Mast Cell/Basophil Type 1_SS2
CST3	0.28	2.12E-16	1.29E-11	Mast Cell/Basophil Type 1_SS2
BTK	1.92	2.47E-16	1.51E-11	Mast Cell/Basophil Type 1_SS2
COBL	2.86	3.09E-16	1.88E-11	Mast Cell/Basophil Type 1_SS2
SPECC1	1.45	3.39E-16	2.07E-11	Mast Cell/Basophil Type 1_SS2
MSRA1	1.43	3.69E-16	2.25E-11	Mast Cell/Basophil Type 1_SS2
ALS2	2.36	3.73E-16	2.27E-11	Mast Cell/Basophil Type 1_SS2
ST8SIA1	3	4.90E-16	2.99E-11	Mast Cell/Basophil Type 1_SS2
NDRG2	2.22	5.56E-16	3.39E-11	Mast Cell/Basophil Type 1_SS2
RAB34	2.67	6.34E-16	3.87E-11	Mast Cell/Basophil Type 1_SS2
ARMCX3	2.13	7.83E-16	4.78E-11	Mast Cell/Basophil Type 1_SS2
ACOT11	3.21	8.27E-16	5.04E-11	Mast Cell/Basophil Type 1_SS2
TRIM63	3.34	1.03E-15	6.28E-11	Mast Cell/Basophil Type 1_SS2
TUBB6	1.7	1.18E-15	7.19E-11	Mast Cell/Basophil Type 1_SS2
SAMSN1	1.26	1.38E-15	8.42E-11	Mast Cell/Basophil Type 1_SS2
GALNT6	2.38	1.39E-15	8.50E-11	Mast Cell/Basophil Type 1_SS2
TMEM246	4.57	1.46E-15	8.90E-11	Mast Cell/Basophil Type 1_SS2
MDM2	1.35	1.63E-15	9.92E-11	Mast Cell/Basophil Type 1_SS2
PROS1	2.61	1.79E-15	1.09E-10	Mast Cell/Basophil Type 1_SS2
TSPAN4	3.41	1.84E-15	1.12E-10	Mast Cell/Basophil Type 1_SS2
BHLHE40	1.9	1.85E-15	1.13E-10	Mast Cell/Basophil Type 1_SS2
STX3	1.37	1.94E-15	1.18E-10	Mast Cell/Basophil Type 1_SS2
PAK1	0.31	2.06E-15	1.25E-10	Mast Cell/Basophil Type 1_SS2
PEBP1	1.91	2.32E-15	1.42E-10	Mast Cell/Basophil Type 1_SS2
SLC8A3	3.83	2.53E-15	1.55E-10	Mast Cell/Basophil Type 1_SS2
SGK1	1.55	3.54E-15	2.16E-10	Mast Cell/Basophil Type 1_SS2
TMEM273	2.75	4.14E-15	2.53E-10	Mast Cell/Basophil Type 1_SS2
CADPS	3.16	4.65E-15	2.83E-10	Mast Cell/Basophil Type 1_SS2
SYTL2	1.54	5.41E-15	3.30E-10	Mast Cell/Basophil Type 1_SS2
CXCL16	1.99	8.32E-15	5.07E-10	Mast Cell/Basophil Type 1_SS2
AKR1A1	1.21	9.26E-15	5.65E-10	Mast Cell/Basophil Type 1_SS2
MITF	2.62	9.51E-15	5.80E-10	Mast Cell/Basophil Type 1_SS2
C5orf30	2.02	1.00E-14	6.11E-10	Mast Cell/Basophil Type 1_SS2
NAV1	2.23	1.06E-14	6.43E-10	Mast Cell/Basophil Type 1_SS2
RASGEF1B	1.76	1.08E-14	6.58E-10	Mast Cell/Basophil Type 1_SS2
TIMP1	1.45	1.10E-14	6.72E-10	Mast Cell/Basophil Type 1_SS2
TCTEX1D1	3	1.13E-14	6.88E-10	Mast Cell/Basophil Type 1_SS2
CCND1	3.45	1.13E-14	6.88E-10	Mast Cell/Basophil Type 1_SS2
BSPRY	3.21	1.16E-14	7.05E-10	Mast Cell/Basophil Type 1_SS2
TMEM255B	3.42	1.22E-14	7.43E-10	Mast Cell/Basophil Type 1_SS2
RENBP	2.95	1.29E-14	7.85E-10	Mast Cell/Basophil Type 1_SS2
GLOD5	4.03	1.33E-14	8.09E-10	Mast Cell/Basophil Type 1_SS2
ITPR1	0.72	1.57E-14	9.56E-10	Mast Cell/Basophil Type 1_SS2
CSF2RB	1.49	1.91E-14	1.16E-09	Mast Cell/Basophil Type 1_SS2
NMT2	1.5	2.32E-14	1.41E-09	Mast Cell/Basophil Type 1_SS2
PLK3	1.23	2.39E-14	1.46E-09	Mast Cell/Basophil Type 1_SS2
ABCA1	1.9	2.66E-14	1.62E-09	Mast Cell/Basophil Type 1_SS2
HDAC4	1.97	2.76E-14	1.68E-09	Mast Cell/Basophil Type 1_SS2
FMNL3	1.94	2.92E-14	1.78E-09	Mast Cell/Basophil Type 1_SS2
CMTM7	1.12	3.05E-14	1.86E-09	Mast Cell/Basophil Type 1_SS2
AL163541.1	2.74	3.06E-14	1.87E-09	Mast Cell/Basophil Type 1_SS2
ARHGEF40	1.17	3.32E-14	2.02E-09	Mast Cell/Basophil Type 1_SS2
OAF	1.64	3.39E-14	2.07E-09	Mast Cell/Basophil Type 1_SS2
SPATS2L	2.17	3.56E-14	2.17E-09	Mast Cell/Basophil Type 1_SS2
SYTL3	1.52	4.12E-14	2.51E-09	Mast Cell/Basophil Type 1_SS2
ANXA4	1.97	4.61E-14	2.81E-09	Mast Cell/Basophil Type 1_SS2
PRSS12	3.89	4.61E-14	2.81E-09	Mast Cell/Basophil Type 1_SS2
DIP2C	3.28	4.77E-14	2.91E-09	Mast Cell/Basophil Type 1_SS2
ASIC4	3.88	5.29E-14	3.23E-09	Mast Cell/Basophil Type 1_SS2
OR2A4	3.16	5.29E-14	3.23E-09	Mast Cell/Basophil Type 1_SS2
AC007671.1	2.71	5.29E-14	3.23E-09	Mast Cell/Basophil Type 1_SS2
MAPK12	4.11	5.31E-14	3.24E-09	Mast Cell/Basophil Type 1_SS2
JUN	3.07	7.65E-14	4.66E-09	Mast Cell/Basophil Type 1_SS2
JPH4	3.63	8.15E-14	4.97E-09	Mast Cell/Basophil Type 1_SS2
RNF130	1.43	8.54E-14	5.21E-09	Mast Cell/Basophil Type 1_SS2
BNC2	2.79	1.25E-13	7.61E-09	Mast Cell/Basophil Type 1_SS2
PTAFR	0.96	1.26E-13	7.70E-09	Mast Cell/Basophil Type 1_SS2
MAGI2-AS3	4.3	1.34E-13	8.18E-09	Mast Cell/Basophil Type 1_SS2
MYO10	2.96	1.34E-13	8.19E-09	Mast Cell/Basophil Type 1_SS2
ARHGEF6	1.6	1.42E-13	8.65E-09	Mast Cell/Basophil Type 1_SS2
ARMH1	1.96	1.60E-13	9.74E-09	Mast Cell/Basophil Type 1_SS2
AKIP1	2	1.82E-13	1.11E-08	Mast Cell/Basophil Type 1_SS2
TMOD1	3.36	2.11E-13	1.29E-08	Mast Cell/Basophil Type 1_SS2
MYADM	1.55	2.26E-13	1.38E-08	Mast Cell/Basophil Type 1_SS2
FTH1P10	0.33	2.59E-13	1.58E-08	Mast Cell/Basophil Type 1_SS2
MFSD2B	3.78	2.73E-13	1.66E-08	Mast Cell/Basophil Type 1_SS2
IL18	2.88	2.73E-13	1.67E-08	Mast Cell/Basophil Type 1_SS2
CHN2	2.53	2.80E-13	1.71E-08	Mast Cell/Basophil Type 1_SS2
LGALS3	2.05	2.96E-13	1.80E-08	Mast Cell/Basophil Type 1_SS2
BCL9	0.55	3.02E-13	1.84E-08	Mast Cell/Basophil Type 1_SS2
DUSP6	1.66	3.14E-13	1.91E-08	Mast Cell/Basophil Type 1_SS2
SOCS1	2.05	3.23E-13	1.97E-08	Mast Cell/Basophil Type 1_SS2
GALC	1.44	3.30E-13	2.01E-08	Mast Cell/Basophil Type 1_SS2
BLVRA	1.74	3.31E-13	2.02E-08	Mast Cell/Basophil Type 1_SS2
AC027290.2	1.66	3.58E-13	2.18E-08	Mast Cell/Basophil Type 1_SS2
SVOPL	3.97	3.72E-13	2.27E-08	Mast Cell/Basophil Type 1_SS2
TANC1	3.4	4.43E-13	2.70E-08	Mast Cell/Basophil Type 1_SS2
SLC39A11	2.31	4.65E-13	2.84E-08	Mast Cell/Basophil Type 1_SS2
AC022217.2	5.08	5.19E-13	3.17E-08	Mast Cell/Basophil Type 1_SS2
FCER1G	1.32	5.94E-13	3.62E-08	Mast Cell/Basophil Type 1_SS2
NRIP1	1.13	7.31E-13	4.46E-08	Mast Cell/Basophil Type 1_SS2
ATP1B1	2.47	7.61E-13	4.64E-08	Mast Cell/Basophil Type 1_SS2
HAAO	2.6	7.69E-13	4.69E-08	Mast Cell/Basophil Type 1_SS2
EMILIN2	2.13	8.01E-13	4.88E-08	Mast Cell/Basophil Type 1_SS2
TAL1	3.44	8.47E-13	5.16E-08	Mast Cell/Basophil Type 1_SS2
CCDC88A	1.07	8.53E-13	5.20E-08	Mast Cell/Basophil Type 1_SS2
PRDX6	1.47	9.06E-13	5.53E-08	Mast Cell/Basophil Type 1_SS2
BEGAIN	3.37	9.22E-13	5.62E-08	Mast Cell/Basophil Type 1_SS2
TESPA1	1.64	1.15E-12	7.02E-08	Mast Cell/Basophil Type 1_SS2
PPM1H	1.37	1.16E-12	7.07E-08	Mast Cell/Basophil Type 1_SS2
BET1L	0.3	1.26E-12	7.70E-08	Mast Cell/Basophil Type 1_SS2
NFE2L3	2.16	1.29E-12	7.89E-08	Mast Cell/Basophil Type 1_SS2
SAMD4A	2.24	1.38E-12	8.41E-08	Mast Cell/Basophil Type 1_SS2
GPX1	1.34	1.46E-12	8.87E-08	Mast Cell/Basophil Type 1_SS2
BEX4	1.41	1.54E-12	9.37E-08	Mast Cell/Basophil Type 1_SS2
VIM	1.51	1.73E-12	1.06E-07	Mast Cell/Basophil Type 1_SS2
ZBTB32	2.53	2.20E-12	1.34E-07	Mast Cell/Basophil Type 1_SS2
CHKA	1.48	2.49E-12	1.52E-07	Mast Cell/Basophil Type 1_SS2
AGAP1	2.36	2.51E-12	1.53E-07	Mast Cell/Basophil Type 1_SS2
VWC2	4.07	2.59E-12	1.58E-07	Mast Cell/Basophil Type 1_SS2
SWAP70	1.01	2.67E-12	1.63E-07	Mast Cell/Basophil Type 1_SS2
GSTT1	2.54	2.67E-12	1.63E-07	Mast Cell/Basophil Type 1_SS2
SLC4A8	1.86	3.04E-12	1.85E-07	Mast Cell/Basophil Type 1_SS2
SLC27A2	3.41	3.25E-12	1.98E-07	Mast Cell/Basophil Type 1_SS2
VMP1	1.4	3.36E-12	2.05E-07	Mast Cell/Basophil Type 1_SS2
IL4R	0.79	3.41E-12	2.08E-07	Mast Cell/Basophil Type 1_SS2
